"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"김포공항","5","901","Gaehwa","개화","4101","개화","09호선"
"공항시장","2","902","Gimpo Intl. Airport","김포공항","4102","김포공항","09호선"
"신방화","2","903","Airport Market","공항시장","4103","공항시장","09호선"
"마곡나루","2","904","Sinbanghwa","신방화","4104","신방화","09호선"
"양천향교","3","905","Magongnaru","마곡나루","4105","마곡나루","09호선"
"가양","2","906","Yangcheon Hyanggyo","양천향교","4106","양천향교","09호선"
"증미","2","907","Gayang","가양","4107","가양","09호선"
"등촌","2","908","Jeungmi","증미","4108","증미","09호선"
"염창","2","909","Deungchon","등촌","4109","등촌","09호선"
"신목동","2","910","Yeomchang","염창","4110","염창","09호선"
"선유도","2","911","Sinmokdong","신목동","4111","신목동","09호선"
"당산","2","912","Seonyudo","선유도","4112","선유도","09호선"
"국회의사당","3","913","Dangsan","당산","4113","당산","09호선"
"여의도","2","914","National Assembly","국회의사당","4114","국회의사당","09호선"
"샛강","2","915","Yeouido","여의도","4115","여의도","09호선"
"노량진","2","916","Saetgang","샛강","4116","샛강","09호선"
"노들","2","917","Noryangjin","노량진","4117","노량진","09호선"
"흑석","2","918","Nodeul","노들","4118","노들","09호선"
"동작","3","919","Heukseok","흑석","4119","흑석","09호선"
"구반포","2","920","Dongjak","동작","4120","동작","09호선"
"신반포","2","921","Gubanpo","구반포","4121","구반포","09호선"
"고속터미널","2","922","Sinbanpo","신반포","4122","신반포","09호선"
"사평","2","923","Express Bus Terminal","고속터미널","4123","고속터미널","09호선"
"신논현","2","924","Sapyeong","사평","4124","사평","09호선"
"언주","2","925","Sinnonhyeon","신논현","4125","신논현","09호선"
"선정릉","2","926","Eonju","언주","4126","언주","09호선"
"삼성중앙","2","927","Seonjeongneung","선정릉","4127","선정릉","09호선"
"봉은사","2","928","Samseong Jungang","삼성중앙","4128","삼성중앙","09호선"
"종합운동장","2","929","Bongeunsa","봉은사","4129","봉은사","09호선"
"삼전","3","930","Sports Complex","종합운동장","4130","종합운동장","09호선"
"석촌고분","2","931","Samjeon","삼전","4131","삼전","09호선"
"석촌","2","932","Seokchon Gobun","석촌고분","4132","석촌고분","09호선"
"송파나루","2","933","Seokchon(Hansol Hospital)","석촌","4133","석촌","09호선"
"한성백제","2","934","Songpanaru","송파나루","4134","송파나루","09호선"
"올림픽공원","3","935","Hanseong Baekje","한성백제","4135","한성백제","09호선"
"둔촌오륜","2","936","Olympic Park","올림픽공원","4136","올림픽공원","09호선"
"천호","2","810","Amsa","암사","2811","암사","08호선"
"강동구청","3","811","Cheonho","천호","2812","천호","08호선"
"몽촌토성","3","812","Gangdong-gu Office","강동구청","2813","강동구청","08호선"
"잠실","2","813","Mongchontoseong","몽촌토성","2814","몽촌토성","08호선"
"석촌","3","814","Jamsil","잠실","2815","잠실","08호선"
"송파","2","815","Seokchon","석촌","2816","석촌","08호선"
"가락시장","2","816","Songpa","송파","2817","송파","08호선"
"문정","2","817","Garak Market","가락시장","2818","가락시장","08호선"
"장지","2","818","Munjeong","문정","2819","문정","08호선"
"복정","2","819","Jangji","장지","2820","장지","08호선"
"산성","4","820","Bokjeong","복정","2821","복정","08호선"
"남한산성입구","2","821","Sanseong","산성","2822","산성","08호선"
"단대오거리","2","822","Namhansanseong","남한산성입구","2823","남한산성입구","08호선"
"신흥","2","823","Dandaeogeori","단대오거리","2824","단대오거리","08호선"
"수진","2","824","Sinheung","신흥","2825","신흥","08호선"
"강남대","2","Y110","Giheung","기흥","4501","기흥","용인경전철"
"지석","2","Y111","Kangnam Univ.","강남대","4502","강남대","용인경전철"
"어정","2","Y112","Jiseok","지석","4503","지석","용인경전철"
"동백","2","Y113","Eojeong","어정","4504","어정","용인경전철"
