"arsId","dist","takeMin","stationId","subwayLine","subwayNm"
"09108","198","1","108000020","우이신설경전철","4.19민주묘지"
"09278","220","2","108000190","우이신설경전철","4.19민주묘지"
"10221","221","2","109000135","우이신설경전철","4.19민주묘지"
"09109","224","2","108000021","우이신설경전철","4.19민주묘지"
"09107","226","2","108000019","우이신설경전철","4.19민주묘지"
"09110","228","2","108000022","우이신설경전철","4.19민주묘지"
"09111","256","2","108000023","우이신설경전철","4.19민주묘지"
"09112","346","3","108000024","우이신설경전철","4.19민주묘지"
"09113","363","3","108000025","우이신설경전철","4.19민주묘지"
"09862","363","3","108900221","우이신설경전철","4.19민주묘지"
"09197","365","3","108000109","우이신설경전철","4.19민주묘지"
"09196","379","3","108000108","우이신설경전철","4.19민주묘지"
"09857","381","3","108900026","우이신설경전철","4.19민주묘지"
"09311","482","4","108000371","우이신설경전철","4.19민주묘지"
"09310","485","4","108000372","우이신설경전철","4.19민주묘지"
"09125","579","5","108000037","우이신설경전철","4.19민주묘지"
"09531","582","5","108900218","우이신설경전철","4.19민주묘지"
"09871","586","5","108900224","우이신설경전철","4.19민주묘지"
"09194","591","5","108000106","우이신설경전철","4.19민주묘지"
"09195","595","5","108000107","우이신설경전철","4.19민주묘지"
"10528","604","6","109900092","우이신설경전철","4.19민주묘지"
"09120","611","6","108000032","우이신설경전철","4.19민주묘지"
"61001","112","1","207000029","1호선","가능"
"61169","125","1","207000021","1호선","가능"
"0","155","1","207000434","1호선","가능"
"0","211","2","207000458","1호선","가능"
"0","232","2","207000459","1호선","가능"
"0","233","2","207000198","1호선","가능"
"0","298","2","207000194","1호선","가능"
"61171","338","3","207000022","1호선","가능"
"61120","354","3","207000034","1호선","가능"
"61014","360","3","207000028","1호선","가능"
"0","392","3","207000457","1호선","가능"
"0","395","3","207000456","1호선","가능"
"61003","424","4","207000152","1호선","가능"
"0","485","4","207000463","1호선","가능"
"0","540","5","207000432","1호선","가능"
"0","570","5","207000339","1호선","가능"
"24385","128","1","123000294","3호선","가락시장"
"24444","163","1","123000352","3호선","가락시장"
"24380","176","1","123000289","3호선","가락시장"
"24009","190","1","123000009","3호선","가락시장"
"24363","194","1","123000272","3호선","가락시장"
"24386","206","2","123000295","3호선","가락시장"
"24010","251","2","123000010","3호선","가락시장"
"24395","252","2","123000609","3호선","가락시장"
"24335","258","2","123000245","3호선","가락시장"
"24334","317","3","123000244","3호선","가락시장"
"24364","342","3","123000273","3호선","가락시장"
"24379","433","4","123000288","3호선","가락시장"
"24382","463","4","123000291","3호선","가락시장"
"24012","488","4","123000012","3호선","가락시장"
"24377","520","5","123000286","3호선","가락시장"
"24387","532","5","123000296","3호선","가락시장"
"24333","537","5","123000243","3호선","가락시장"
