"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","city_nm"
"37583","233001505","동탄2LH4단지","127.12275","37.2055667","210899.64567","411837.11581","","화성"
"36737","233001504","포스코2차.신미주아파트","127.0904","37.1894167","208030.2213","410040.79716","","화성"
"36738","233001503","남양아이파크","126.8336167","37.2062333","185232.31628","411916.71885","","화성"
"37394","233001502","멱우3리","126.8081333","37.0933667","182945.92127","399394.82508","","화성"
"37425","233001509","고주리마을회관","126.8851167","37.1273333","189793.56064","403153.83723","","화성"
"37426","233001508","고주리마을회관","126.88515","37.1274167","189796.47761","403162.40915","","화성"
"37404","233001507","원안2리","126.7863833","37.1004333","181011.58322","400181.32239","","화성"
"37582","233001506","동탄2부영아파트","127.1161833","37.2051667","210317.56874","411790.67984","","화성"
"37395","233001501","한각1리","126.7975667","37.0955833","182005.84536","399642.73947","","화성"
"95033","163000514","주안사거리","126.67675","37.4585","171403.16195","439950.72868","","인천"
"36740","233001500","향남교회","126.9473833","37.12335","195327.5633","402706.7875","","화성"
"16217","215000168","지행역4번출구","127.0562167","37.8923667","204949.37258","488058.50925","","동두천"
"16210","215000167","소요초등학교","127.05435","37.9475833","204781.05041","494186.66816","","동두천"
"16281","215000169","지행역1번출구","127.0551333","37.89175","204853.56487","487988.69496","","동두천"
"16261","215000175","송내주공5단지후문","127.0532167","37.8832","204677.99668","487037.98883","","동두천"
"16258","215000177","현대아이파크","127.0516833","37.8850333","204541.99477","487223.98501","","동두천"
"","121500090","서울남부터미널","127.0159","37.4842833","201409.03777","442762.19924","","서울"
"16277","215000176","송내주공5단지후문","127.05305","37.8830833","204662.99702","487024.98869","","동두천"
"16251","215000171","송내주공4단지","127.0545167","37.8868333","204795.98951","487413.98757","","동두천"
"16250","215000170","송내주민센터송내주공2단지","127.0547667","37.89005","204821.55478","487801.18625","","동두천"
"16254","215000172","꿈나무도서관","127.0511667","37.8925833","204505.20814","488082.21489","","동두천"
"16184","215000179","동점마을","127.1167667","37.8968667","210274.93144","488561.47708","","동두천"
