순번,ROUTE_ID,ROUTE_NM,STA_ORDER,STATION_NM,STATION_ID,MOBILE_NO
130001,236000117,1,85,선단동행정복지센터,236001079,40492
130002,236000117,1,86,삼보주택,236000734,40178
130003,236000117,1,87,선단4통.장승거리,236000708,40183
130004,236000117,1,88,선단4통.장승거리,236000517,40181
130005,236000137,7-2,1,도평리,236000784,40527
130006,236000137,7-2,2,심뱅이골,236000071,41627
130007,236000137,7-2,3,도평4리.풍차가든,236000072,41624
130008,236000137,7-2,4,장암5리.한빛아파트,236000073,41623
130009,236000137,7-2,5,장암아이파크,236001389,40752
130010,236000137,7-2,6,이동,236000076,41607
130011,236000137,7-2,7,이동초교,236000074,41609
130012,236000137,7-2,8,연곡1리.포병여단앞,236000077,41619
130013,236000137,7-2,9,연곡리심재,236000075,41617
130014,236000137,7-2,10,원평마을.연곡2리,236000078,41615
130015,236000137,7-2,11,연곡3리.만가대,236000079,41612
130016,236000137,7-2,12,연곡4리,236000001,41605
130017,236000137,7-2,13,사직2리.가족처럼요양원,236001303,40704
130018,236000137,7-2,14,사직2리.조침리마을,236000002,41597
130019,236000137,7-2,15,사직1리.뱀말,236000003,41591
130020,236000137,7-2,16,사직1리.새터,236000004,41589
130021,236000137,7-2,17,화대3리.왼부리,236000005,41585
130022,236000137,7-2,18,화대3리.숫터,236000006,41580
130023,236000137,7-2,19,운담초등학교앞,236001301,40703
130024,236000137,7-2,20,화대2리.제일온천,236000536,41573
130025,236000137,7-2,21,일동면사무소.농협,236000537,41558
130026,236000137,7-2,22,일동중.고등학교,236000544,41554
130027,236000137,7-2,23,일동시장입구,236000546,41550
130028,236000137,7-2,24,일동초교.일동도서관,236000547,41541
130029,236000137,7-2,25,기산1리.배리,236000548,41534
130030,236000137,7-2,26,기산1리.샘말,236001002,41529
130031,236000137,7-2,27,기산1리괸돌,236001005,41519
130032,236000137,7-2,28,유동2리.선진공업사,236000556,41516
130033,236000137,7-2,29,유동2리,236000530,41520
130034,236000137,7-2,30,유동1리.버들골,236000527,41525
130035,236000137,7-2,31,화현5리.승진아파트,236000528,40331
130036,236000137,7-2,32,화현4리.선촌입구,236000531,40439
130037,236000137,7-2,33,화현3리,236000529,40329
130038,236000137,7-2,34,화현2리,236000315,40327
130039,236000137,7-2,35,화현2리,236000316,40571
