"bus_route_id","bus_route_nm","ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","seq","dist_next_st","time_next_st","trn_st_id","city_nm"
"234001609","500-1A","38466","234000604","동원대학교","127.4002167","37.3276333","","","1","","","","광주"
"234001609","500-1A","","277101661","동원대학교(경유)","127.3981833","37.3278833","","","2","","","","광주"
"234001609","500-1A","38465","234000349","동원대학교.넋고개앞","127.3948833","37.3286667","","","3","","","","광주"
"234001609","500-1A","38463","234000348","신촌리","127.3896333","37.3284167","","","4","","","","광주"
"234001609","500-1A","38461","234000347","수양4리","127.3808667","37.3323","","","5","","","","광주"
"234001609","500-1A","38934","234000346","수양2리","127.3753333","37.33405","","","6","","","","광주"
"234001609","500-1A","38448","234000345","수양3리마을입구","127.3679667","37.3371333","","","7","","","","광주"
"234001609","500-1A","54041","234001068","이화전기","127.35765","37.3423","","","8","","","","광주"
"234001609","500-1A","38437","234000344","묵방리","127.3518167","37.344","","","9","","","","광주"
"234001609","500-1A","38433","234000343","곤지암LG아파트","127.3486333","37.3473","","","10","","","","광주"
"234001609","500-1A","38737","234000673","곤지향어울림마당","127.3444667","37.3491667","","","11","","","","광주"
"234001609","500-1A","38538","234000943","곤지암터미널","127.3417333","37.34985","","","12","","","","광주"
"234001609","500-1A","38422","234000089","농협.곤지암연세의원","127.3402667","37.3497167","","","13","","","","광주"
"234001609","500-1A","38413","234000342","도자박물관.친환경농산물유통센터.경기도농수산진흥원.팀업캠퍼스","127.32955","37.3540333","","","14","","","","광주"
"234001609","500-1A","38406","234000341","삼리.킴스빌리지.현진에버빌아파트","127.32525","37.3561","","","15","","","","광주"
"234001609","500-1A","38391","234000340","빙그레.코아루아파트","127.3160667","37.3608","","","16","","","","광주"
"234001609","500-1A","38383","234000339","벽산.대주아파트.나이키","127.3125333","37.3639333","","","17","","","","광주"
"234001609","500-1A","38349","234000338","쌍동리경기주유소.광주하남예비군훈련장","127.3031333","37.3703667","","","18","","","","광주"
"234001609","500-1A","38340","234000337","초월역.롯데아파트","127.3000667","37.3728667","","","19","","","","광주"
"234001609","500-1A","38339","234000336","소쌍.동광.e편한세상.모아미래도","127.2963333","37.37595","","","20","","","","광주"
"234001609","500-1A","38329","234000335","초월읍행정복지센터.초월도서관입구","127.2876667","37.3869667","","","21","","","","광주"
"234001609","500-1A","38489","234000334","도평리.우림.신일.대주아파트","127.2845167","37.3913167","","","22","","","","광주"
"234001609","500-1A","38321","234000333","동성.현대아파트.대광로제비앙아파트","127.2750167","37.3975833","","","23","","","","광주"
"234001609","500-1A","38490","234000332","쌍령동.김촌말.센트럴푸르지오아파트","127.27185","37.4012333","","","24","","","","광주"
"234001609","500-1A","38314","234000643","쌍령동","127.2671","37.4056167","","","25","","","","광주"
"234001609","500-1A","38292","234000269","광주시축협","127.2594","37.40775","","","26","","","","광주"
"234001609","500-1A","38285","234000268","경안동주민센터.우체국앞","127.2579","37.4107833","","","27","","","","광주"
"234001609","500-1A","38483","234000267","제일정형외과앞","127.2571167","37.4132","","","28","","","","광주"
"234001609","500-1A","38294","234000251","뉴광주농협주유소","127.2595667","37.41355","","","29","","","","광주"
"234001609","500-1A","38297","234000271","광주터미널.참조은병원앞","127.2603667","37.4106833","","","30","","","","광주"
"234001609","500-1A","38299","234000270","역동사거리","127.2607667","37.4078667","","","31","","","","광주"
"234001609","500-1A","38275","234001077","역동","127.2544333","37.4027833","","","32","","","","광주"
"234001609","500-1A","38229","234000330","경안장례식장.이편한세상광주역아파트","127.2450833","37.4011833","","","33","","","","광주"
"234001609","500-1A","38194","234000436","절골.장지동.미빙냉장","127.2357667","37.4039167","","","34","","","","광주"
"234001609","500-1A","54088","234001004","장지동.조은교회앞","127.2278167","37.4068167","","","35","","","","광주"
"234001609","500-1A","38156","234000435","중앙저수지.성광주유소","127.2241667","37.4048833","","","36","","","","광주"
"234001609","500-1A","38149","234000434","임마누엘교회","127.2201333","37.4030667","","","37","","","","광주"
"234001609","500-1A","38491","234000064","텃골.중대동","127.2115667","37.40625","","","38","","","","광주"
"234001609","500-1A","54149","234001169","삼동역육교","127.2046667","37.40945","","","39","","","","광주"
"234001609","500-1A","38101","234000063","삼동.갈마주유소","127.2014833","37.4118","","","40","","","","광주"
"234001609","500-1A","","277103681","갈현교차로(경유)","127.18225","37.4242833","","","41","","","","성남"
"234001609","500-1A","06129","205000078","갈현동","127.1757167","37.4230667","","","42","","","","성남"
"234001609","500-1A","06047","205000074","섬마을","127.1580667","37.4217833","","","43","","","","성남"
"234001609","500-1A","06153","205000069","모란역4번출구","127.1294","37.4309333","","","44","","","","성남"
"234001609","500-1A","05037","204000087","모란고개","127.1285333","37.4370333","","","45","","","","성남"
"234001609","500-1A","05033","204000019","성남수정경찰서","127.12765","37.4418333","","","46","","","","성남"
"234001609","500-1A","05032","204000022","수진리고개.태평고개","127.1272333","37.4446667","","","47","","","","성남"
"234001609","500-1A","05030","204000021","가천대역.가천대학교","127.1269333","37.4489333","","","48","","","","성남"
"234001609","500-1A","05031","204000020","복우물.웃말입구","127.1268167","37.4533167","","","49","","","","성남"
"234001609","500-1A","05205","204000227","복정파출소.복정캠퍼스맛집거리","127.1266667","37.4555","","","50","","","","성남"
"234001609","500-1A","05141","204000116","동서울대학교","127.1260833","37.4590333","","","51","","","","성남"
"234001609","500-1A","05142","204000115","복정초등학교","127.1262167","37.4617833","","","52","","","","성남"
"234001609","500-1A","05027","204000114","복정동행정복지센터","127.1266167","37.46625","","","53","","","","성남"
"234001609","500-1A","","123000329","복정역2번출구","127.1268667","37.4691667","","","54","","","","서울"
"234001609","500-1A","","123000015","장지역.가든파이브(중)","127.1261833","37.4788833","","","55","","","","서울"
"234001609","500-1A","","123000013","문정법조단지.건영아파트(중)","127.1245667","37.48195","","","56","","","","서울"
"234001609","500-1A","","123000011","문정로데오거리입구(중)","127.12145","37.4882333","","","57","","","","서울"
