ars_id,st_id,st_nm,gps_x,gps_y,pos_x,pos_y,trans_yn,city_nm
1001,100000001,종로2가사거리,126.9877499,37.56976513,198917.9254,452252.3811,N,서울
1002,100000002,창경궁.서울대학교병원,126.996566,37.57918302,199696.7071,453297.4812,N,서울
1003,100000003,명륜3가.성대입구,126.9983401,37.58267117,199853.4034,453684.5813,N,서울
1004,100000004,종로2가.삼일교,126.9876131,37.56857927,198905.8257,452120.7811,N,서울
1005,100000005,혜화동로터리.여운형활동터,127.001744,37.586243,200154.0167,454080.971,N,서울
1101,100000006,경기상고,126.9693635,37.58755022,197294.4636,454226.4814,N,서울
1102,100000007,신교동,126.9702627,37.58329552,197373.7259,453754.2838,N,서울
1103,100000008,경기상고,126.9697701,37.58719079,197330.3627,454186.5814,N,서울
1104,100000009,경복고교,126.9710437,37.58511319,197442.7601,453955.9813,N,서울
1105,100000010,청운중학교,126.9725135,37.58785196,197572.657,454259.8814,N,서울
1106,100000011,자하문고개.윤동주문학관,126.9671262,37.59218662,197097.0682,454741.0814,N,서울
1107,100000012,자하문고개.윤동주문학관,126.9671907,37.59233532,197102.7681,454757.5814,N,서울
1108,100000013,청운중학교,126.9724613,37.58812858,197568.0571,454290.5814,N,서울
1109,100000014,경복고교,126.9711547,37.58496634,197452.5598,453939.6813,N,서울
1110,100000015,통인시장종로구보건소,126.97105,37.5803257,197443.1601,453424.6813,N,서울
1111,100000016,통인시장종로구보건소,126.9713851,37.58051321,197472.7594,453445.4813,N,서울
1112,100000017,효자동,126.970621,37.58309104,197405.361,453731.5813,N,서울
1113,100000018,사직단.어린이도서관,126.9679907,37.57513553,197172.7664,452848.7812,N,서울
1114,100000019,사직동주민센터,126.9713245,37.57618346,197467.2595,452964.9812,N,서울
1115,100000020,경복궁역,126.972196,37.57686669,197544.2577,453040.7812,N,서울
1116,100000021,경복궁역,126.9722829,37.57767139,197551.9575,453130.0812,N,서울
1117,100000022,경복궁,126.9787471,37.57557679,198122.8441,452897.4812,N,서울
1118,100000023,KT광화문지사,126.9773321,37.57222644,197997.7674,452525.7004,N,서울
1120,100000025,광화문,126.9763839,37.5698454,197913.949,452261.4811,Y,서울
1123,100000028,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,197460.2938,452281.3172,N,서울
1124,100000029,광화문.금호아시아나본관앞,126.9731336,37.57028804,197626.8557,452310.6811,N,서울
1125,100000030,광화문,126.975837,37.570365,197865.6567,452319.157,N,서울
1126,100000031,세종문화회관,126.9768571,37.57359001,197955.852,452677.0342,N,서울
1127,100000032,서울경찰청.경복궁역,126.9714843,37.57574466,197481.3592,452916.2812,N,서울
1128,100000033,사직단,126.968189,37.57485535,197190.266,452817.6812,N,서울
1129,100000034,광화문광화문빌딩,126.9766885,37.56968761,197940.8527,452243.9634,N,서울
1130,100000035,덕성여중고,126.982017,37.57590175,198411.662,452933.4838,N,서울
1131,100000036,안국역.종로경찰서.서울공예박물관,126.9839958,37.57606956,198586.4387,452952.0749,N,서울
1132,100000037,국민은행세검정지점,126.960888,37.60466298,196546.7811,456125.8816,N,서울
1133,100000038,세검정초등학교,126.9612198,37.60250228,196575.9804,455886.0816,N,서울
1134,100000039,세검정.상명대,126.9587224,37.6007326,196355.3856,455689.7816,N,서울
1135,100000040,상명대입구.석파랑,126.9585702,37.59941335,196341.8859,455543.3816,N,서울
1136,100000041,하림각,126.9617068,37.59813307,196618.7794,455401.1815,N,서울
1137,100000042,자하문터널입구.석파정,126.9636435,37.59559351,196789.6754,455119.2815,N,서울
1138,100000043,부암동주민센터.무계원,126.9639574,37.59273806,196817.2748,454802.3815,N,서울
1139,100000044,부암동주민센터.무계원,126.9651419,37.59278617,196921.8723,454807.6814,N,서울
1140,100000045,자하문터널입구.석파정,126.9639776,37.59555757,196819.1747,455115.2815,N,서울
1141,100000046,하림각,126.9622153,37.59814765,196663.6784,455402.7815,N,서울
1142,100000047,상명대입구.세검정교회,126.9592406,37.59961633,196401.0845,455565.8816,N,서울
1143,100000048,세검정.상명대,126.9589343,37.60055246,196374.0852,455669.7816,N,서울
1144,100000049,세검정초등학교,126.9614329,37.60226807,196594.78,455860.0816,N,서울
1146,100000051,국민은행세검정지점,126.9612088,37.60471919,196575.108,456132.1085,N,서울
1148,100000053,승가사입구,126.956306,37.61158441,196142.5906,456894.1817,N,서울
1149,100000054,구기동현대빌라,126.9564576,37.6100355,196155.8903,456722.2817,N,서울
1150,100000055,구기터널.삼성출판박물관,126.9562103,37.60860989,196133.9908,456564.0817,N,서울
1151,100000056,구기터널.삼성출판박물관,126.9564167,37.6083054,196152.1904,456530.2817,N,서울
1152,100000057,구기동,126.9585298,37.60696445,196338.686,456381.3817,N,서울
1153,100000058,구기동,126.9591017,37.6070088,196389.1848,456386.2817,N,서울
1154,100000059,승가사입구,126.956482,37.61148,196158.1231,456882.587,N,서울
1155,100000060,갑을씨티텔앞,126.963535,37.60437097,196780.4756,456093.3816,N,서울
1156,100000061,평창파출소,126.9660433,37.60532237,197001.9704,456198.8816,N,서울
1157,100000062,평창동주민센터,126.9695663,37.60660737,197313.0631,456341.3817,N,서울
1158,100000063,일성아파트,126.9729985,37.60876631,197616.156,456580.8817,N,서울
1159,100000064,롯데아파트,126.9764662,37.61042956,197922.3488,456765.3817,N,서울
1160,100000065,롯데아파트,126.976652,37.610248,197938.7467,456745.2289,N,서울
1161,100000066,벽산평창힐스아파트,126.972797,37.60819,197598.346,456516.9294,N,서울
1162,100000067,예능교회,126.97,37.606517,197351.3497,456331.3398,N,서울
1163,100000068,서울예술고등학교.평창동주민센터,126.9676276,37.60577876,197141.8671,456249.4816,N,서울
1164,100000069,화정박물관,126.9648103,37.60450382,196893.073,456108.0816,N,서울
1167,100000072,독립문역.서대문형무소역사관,126.9594644,37.57321269,196419.5841,452635.6812,N,서울
1168,100000073,서대문.서울시교육청,126.9645273,37.56825381,196866.5736,452085.1811,N,서울
1171,100000075,독립문,126.9615633,37.57117332,196604.8798,452409.2811,N,서울
1172,100000076,창덕궁.서울돈화문국악당,126.9885394,37.57754057,198987.7745,453115.2648,N,서울
1173,100000077,서린동.SK서린빌딩,126.9802682,37.56924238,198257.0409,452194.4811,Y,서울
