연번,호선,영호선,환승역명,환승노선,환승영노선,환승거리,환승소요시간,역간소요분
1,1호선,LINE1,회룡,의정부경전철,의정부경전철,,7분,7
2,1호선,LINE1,회기,경춘선,경춘선,,10분,10
3,1호선,LINE1,회기,경의중앙선,경의중앙선,,10분,10
4,1호선,LINE1,서울역,4호선,LINE4,159,2분13초,2
5,1호선,LINE1,서울역,공항철도,공항철도,309,4분18초,4
6,1호선,LINE1,서울역,경의중앙선,경의중앙선,164,2분17초,2
7,1호선,LINE1,시청,2호선,LINE2,101,1분24초,5
8,1호선,LINE1,종로3가,3호선,LINE3,118,1분38초,8
9,1호선,LINE1,종로3가,5호선,LINE5,312,4분20초,10
10,1호선,LINE1,동대문,4호선,LINE4,194,2분42초,3
11,1호선,LINE1,동묘앞,6호선,LINE6,96,1분20초,6
12,1호선,LINE1,신설동,2호선,LINE2,159,2분13초,2
13,1호선,LINE1,신설동,우이신설선,우이신설선,129,1분48초,2
14,1호선,LINE1,청량리,경의중앙선,경의중앙선,165,2분18초,2
15,1호선,LINE1,청량리,경춘선,경춘선,203,2분49초,3
16,1호선,LINE1,청량리,수인분당선,수인분당선,180,2분30초,3
18,1호선,LINE1,용산,경의중앙선,경의중앙선,,5분,5
19,1호선,LINE1,노량진,9호선,LINE9,,7분,7
20,1호선,LINE1,소사,서해선,서해선,,13분,13
21,1호선,LINE1,부평,인천1호선,인천1호선,,11분,11
22,1호선,LINE1,주안,인천2호선,인천2호선,,11분,11
23,1호선,LINE1,인천,수인분당선,수인분당선,,7분,7
24,1호선,LINE1,금천구청,광명지선,광명지선,,10분,10
25,1호선,LINE1,금정,4호선,LINE4,,9분,9
26,1호선,LINE1,수원,수인분당선,수인분당선,,7분,7
27,1호선,LINE1,병점,서동탄지선,서동탄지선,,15분,15
28,2호선,LINE2,을지로3가,3호선,LINE3,149,2분4초,2
29,2호선,LINE2,을지로4가,5호선,LINE5,77,1분4초,3
30,2호선,LINE2,동대문역사문화공원,4호선,LINE4,45,0분38초,3
31,2호선,LINE2,동대문역사문화공원,5호선,LINE5,234,3분15초,7
32,2호선,LINE2,신당,6호선,LINE6,242,3분22초,6
33,2호선,LINE2,왕십리,수인분당선,수인분당선,99,1분23초,3
34,2호선,LINE2,왕십리,5호선,경의중앙선,86,1분12초,3
35,2호선,LINE2,왕십리,경의중앙선,경의중앙선,50,0분42초,3
36,2호선,LINE2,성수,신설동지선,신설동지선,23,0분19초,3
37,2호선,LINE2,건대입구,7호선,LINE7,77,1분4초,1
38,2호선,LINE2,잠실,8호선,LINE8,190,2분38초,3
39,2호선,LINE2,종합운동장,9호선,LINE9,94,1분18초,1
40,2호선,LINE2,선릉,수인분당선,수인분당선,81,1분8초,1
41,2호선,LINE2,강남,신분당선,신분당선,214,2분58초,3
42,2호선,LINE2,교대,3호선,LINE3,75,1분3초,1
43,2호선,LINE2,사당,4호선,LINE4,74,1분2초,1
44,2호선,LINE2,대림,7호선,LINE7,276,3분50초,4
45,2호선,LINE2,신도림,1호선,LINE1,81,1분8초,1
46,2호선,LINE2,신도림,까치산지선,까치산지선,81,1분8초,1
48,2호선,LINE2,당산,9호선,LINE9,105,1분28초,1
49,2호선,LINE2,합정,6호선,LINE6,82,1분8초,1
50,2호선,LINE2,홍대입구,공항철도,공항철도,355,4분56초,5
51,2호선,LINE2,홍대입구,경의중앙선,경의중앙선,305,4분14초,4
52,2호선,LINE2,충정로,5호선,LINE5,212,2분57초,3
53,3호선,LINE3,대곡,경의중앙선,경의중앙선,,10분,10
54,3호선,LINE3,양재,신분당선,신분당선,93,1분18초,1
55,3호선,LINE3,연신내,6호선,LINE6,181,2분31초,3
56,3호선,LINE3,불광,6호선,LINE6,100,1분23초,1
57,3호선,LINE3,충무로,4호선,LINE4,17,0분14초,1
58,3호선,LINE3,약수,6호선,LINE6,130,1분48초,2
59,3호선,LINE3,옥수,경의중앙선,경의중앙선,155,2분9초,2
60,3호선,LINE3,고속터미널,7호선,LINE7,169,2분21초,2
61,3호선,LINE3,고속터미널,9호선,LINE9,155,2분9초,2
62,3호선,LINE3,도곡,수인분당선,수인분당선,78,1분5초,1
63,3호선,LINE3,수서,수인분당선,수인분당선,92,1분17초,1
64,3호선,LINE3,가락시장,8호선,LINE8,35,0분29초,1
65,3호선,LINE3,오금,5호선,LINE5,65,0분54초,1
66,4호선,LINE4,충무로,3호선,LINE3,17,0분14초,1
67,4호선,LINE4,충무로,3호선,LINE3,17,0분14초,1
68,4호선,LINE4,충무로,3호선,LINE3,17,0분14초,1
69,4호선,LINE4,성신여대입구,우이신설선,우이신설선,7,0분6초,0
70,4호선,LINE4,이촌,경의중앙선,경의중앙선,78,1분5초,1
71,4호선,LINE4,삼각지,6호선,LINE6,155,2분9초,2
72,4호선,LINE4,동작,9호선,LINE9,245,3분24초,3
73,4호선,LINE4,총신대입구,7호선,LINE7,171,2분23초,2
74,4호선,LINE4,한대앞,수인분당선,수인분당선,,7분,7
75,4호선,LINE4,중앙,수인분당선,수인분당선,,7분,7
76,4호선,LINE4,고잔,수인분당선,수인분당선,,7분,7
77,4호선,LINE4,초지,서해선,서해선,,7분,7
78,4호선,LINE4,초지,수인분당선,수인분당선,,7분,7
79,4호선,LINE4,안산,수인분당선,수인분당선,,7분,7
80,4호선,LINE4,신길온천,수인분당선,수인분당선,,7분,7
81,4호선,LINE4,정왕,수인분당선,수인분당선,,7분,7
82,4호선,LINE4,오이도,수인분당선,수인분당선,,7분,7
83,5호선,LINE5,김포공항,공항철도,공항철도,122,1분42초,2
84,5호선,LINE5,김포공항,9호선,김포골드라인,106,1분28초,2
