외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
901,Gaehwa,개화,4101,9호선,개화,김포공항,5,
902,Gimpo Intl. Airport,김포공항,4102,9호선,김포공항,공항시장,2,
903,Airport Market,공항시장,4103,9호선,공항시장,신방화,2,
904,Sinbanghwa,신방화,4104,9호선,신방화,마곡나루,2,
905,Magongnaru,마곡나루,4105,9호선,마곡나루,양천향교,3,
906,Yangcheon Hyanggyo,양천향교,4106,9호선,양천향교,가양,2,
907,Gayang,가양,4107,9호선,가양,증미,2,
908,Jeungmi,증미,4108,9호선,증미,등촌,2,
909,Deungchon,등촌,4109,9호선,등촌,염창,2,
910,Yeomchang,염창,4110,9호선,염창,신목동,2,
911,Sinmokdong,신목동,4111,9호선,신목동,선유도,2,
912,Seonyudo,선유도,4112,9호선,선유도,당산,2,
913,Dangsan,당산,4113,9호선,당산,국회의사당,3,
914,National Assembly,국회의사당,4114,9호선,국회의사당,여의도,2,
915,Yeouido,여의도,4115,9호선,여의도,샛강,2,
916,Saetgang,샛강,4116,9호선,샛강,노량진,2,
917,Noryangjin,노량진,4117,9호선,노량진,노들,2,
918,Nodeul,노들,4118,9호선,노들,흑석,2,
919,Heukseok,흑석,4119,9호선,흑석,동작,3,
920,Dongjak,동작,4120,9호선,동작,구반포,2,
921,Gubanpo,구반포,4121,9호선,구반포,신반포,2,
922,Sinbanpo,신반포,4122,9호선,신반포,고속터미널,2,
923,Express Bus Terminal,고속터미널,4123,9호선,고속터미널,사평,2,
924,Sapyeong,사평,4124,9호선,사평,신논현,2,
925,Sinnonhyeon,신논현,4125,9호선,신논현,언주,2,
926,Eonju,언주,4126,9호선,언주,선정릉,2,
927,Seonjeongneung,선정릉,4127,9호선,선정릉,삼성중앙,2,
928,Samseong Jungang,삼성중앙,4128,9호선,삼성중앙,봉은사,2,
929,Bongeunsa,봉은사,4129,9호선,봉은사,종합운동장,2,
930,Sports Complex,종합운동장,4130,9호선,종합운동장,삼전,3,
931,Samjeon,삼전,4131,9호선,삼전,석촌고분,2,
932,Seokchon Gobun,석촌고분,4132,9호선,석촌고분,석촌,2,
933,Seokchon(Hansol Hospital),석촌,4133,9호선,석촌,송파나루,2,
934,Songpanaru,송파나루,4134,9호선,송파나루,한성백제,2,
935,Hanseong Baekje,한성백제,4135,9호선,한성백제,올림픽공원,3,
936,Olympic Park,올림픽공원,4136,9호선,올림픽공원,둔촌오륜,2,
937,Dunchon Orun ,둔촌오륜,4137,9호선,둔촌오륜,중앙보훈병원,3,
810,Amsa,암사,2811,8호선,암사,천호,2,
811,Cheonho,천호,2812,8호선,천호,강동구청,3,
812,Gangdong-gu Office,강동구청,2813,8호선,강동구청,몽촌토성,3,
813,Mongchontoseong,몽촌토성,2814,8호선,몽촌토성,잠실,2,
814,Jamsil,잠실,2815,8호선,잠실,석촌,3,
815,Seokchon,석촌,2816,8호선,석촌,송파,2,
816,Songpa,송파,2817,8호선,송파,가락시장,2,
817,Garak Market,가락시장,2818,8호선,가락시장,문정,2,
818,Munjeong,문정,2819,8호선,문정,장지,2,
819,Jangji,장지,2820,8호선,장지,복정,2,
820,Bokjeong,복정,2821,8호선,복정,산성,4,
821,Sanseong,산성,2822,8호선,산성,남한산성입구,2,
822,Namhansanseong,남한산성입구,2823,8호선,남한산성입구,단대오거리,2,
823,Dandaeogeori,단대오거리,2824,8호선,단대오거리,신흥,2,
824,Sinheung,신흥,2825,8호선,신흥,수진,2,
825,Moran,수진,2826,8호선,수진,모란,2,
Y110,Giheung,기흥,4501,용인경전철,기흥,강남대,2,
Y111,Kangnam Univ.,강남대,4502,용인경전철,강남대,지석,2,
Y112,Jiseok,지석,4503,용인경전철,지석,어정,2,
