"adm_nm","adm_cd","node_id","node_no"
 용인시,"31190",241332001,"810"
 용인시,"31190",241332003,"810-1"
 용인시,"31190",241332004,"810-2"
 용인시,"31190",241419001,"11"
 용인시,"31190",241419002,"15"
 용인시,"31190",241419002,"15"
 용인시,"31190",241419004,"17-1"
 용인시,"31190",241419006,"17"
 용인시,"31190",241419007,"14-1"
 용인시,"31190",241419008,"14"
 용인시,"31190",241419009,"15-2"
 용인시,"31190",241419011,"15-3"
 용인시,"31190",241419012,"14-3"
 용인시,"31190",241419013,"14-4"
 용인시,"31190",241419014,"15-4"
 용인시,"31190",241419015,"88C"
 용인시,"31190",241419016,"15-5"
 용인시,"31190",241420001,"1"
 용인시,"31190",241420002,"16"
 용인시,"31190",241420003,"5"
 용인시,"31190",241420004,"82"
 용인시,"31190",241420005,"2-1"
 용인시,"31190",241420006,"82-1"
 용인시,"31190",241420007,"1-1"
 용인시,"31190",241420008,"5-1"
 용인시,"31190",241420009,"99"
 용인시,"31190",241420010,"88A"
 용인시,"31190",241420011,"88B"
 용인시,"31190",241421001,"35"
 용인시,"31190",241421002,"35-1"
 용인시,"31190",241421003,"35-2"
 용인시,"31190",241421003,"35-2"
 용인시,"31190",241421004,"35-3"
 용인시,"31190",241422001,"23"
 용인시,"31190",241422002,"20"
 용인시,"31190",241422003,"23-1A"
 용인시,"31190",241422004,"20-1A"
 용인시,"31190",241422005,"23-2"
 용인시,"31190",241422006,"20-2"
 용인시,"31190",241422006,"20-2"
 용인시,"31190",241422007,"20-1B"
 용인시,"31190",241422008,"23-1B"
 용인시,"31190",241423001,"22"
 용인시,"31190",241423006,"57"
 용인시,"31190",241423007,"57-1"
 용인시,"31190",241423008,"59"
 용인시,"31190",241423012,"39"
 용인시,"31190",241423013,"39-1"
 용인시,"31190",241423015,"57-2"
 용인시,"31190",241423016,"29"
 용인시,"31190",241423017,"59-1"
 용인시,"31190",241423018,"39-2"
 용인시,"31190",241423020,"29-1"
 용인시,"31190",241424001,"33"
 용인시,"31190",241424001,"33"
 용인시,"31190",241424002,"34"
 용인시,"31190",241424003,"36"
 용인시,"31190",241424005,"31"
 용인시,"31190",241424006,"28"
 용인시,"31190",241424007,"33-1"
 용인시,"31190",241424008,"31-1"
 용인시,"31190",241424009,"28-1"
 용인시,"31190",241424010,"34-1"
 용인시,"31190",241424011,"34-2"
 용인시,"31190",241424012,"80"
 용인시,"31190",241424013,"80-1"
 용인시,"31190",241424014,"80-2"
 용인시,"31190",241424015,"33-2"
 용인시,"31190",241424016,"31-2"
 용인시,"31190",241425001,"54"
 용인시,"31190",241425002,"19"
 용인시,"31190",241425003,"51"
 용인시,"31190",241425004,"51-1B"
 용인시,"31190",241425006,"18"
 용인시,"31190",241425007,"32"
 용인시,"31190",241425008,"38"
 용인시,"31190",241425010,"53"
 용인시,"31190",241425012,"30"
 용인시,"31190",241425013,"55"
 용인시,"31190",241425013,"55"
 용인시,"31190",241425014,"56"
 용인시,"31190",241425015,"58"
 용인시,"31190",241425016,"17"
 용인시,"31190",241425018,"18(기흥행)"
 용인시,"31190",241425020,"28-2"
 용인시,"31190",241425021,"58-1"
 용인시,"31190",241425022,"58-2"
 용인시,"31190",241425023,"38-1"
 용인시,"31190",241425024,"53-1"
 용인시,"31190",241425027,"28-3"
 용인시,"31190",241425030,"51-2A"
 용인시,"31190",241425031,"51-1A"
 용인시,"31190",241425032,"18(영통행)"
 용인시,"31190",241425033,"51-2B"
 용인시,"31190",241426001,"5"
 용인시,"31190",241426002,"5-3"
 용인시,"31190",241426003,"5-4"
 용인시,"31190",241427001,"26"
 용인시,"31190",241427002,"21"
 용인시,"31190",241427003,"26-1"
 용인시,"31190",241427004,"21-1"
 용인시,"31190",241427005,"26-2"
 용인시,"31190",241427006,"21A"
 용인시,"31190",241427008,"26-3"
 용인시,"31190",241428001,"49"
 용인시,"31190",241428002,"50"
 용인시,"31190",241428003,"25"
 용인시,"31190",241428004,"24"
 용인시,"31190",241428005,"40"
 의왕시,"31170",226000022,G3900
 의왕시,"31170",241392001,"03"
 의왕시,"31170",241394002,"06-2"
 의왕시,"31170",241394002,"06-2"
 의왕시,"31170",241394003,"06"
 의왕시,"31170",241394004,"06-1(A)"
 의왕시,"31170",241394005,"16"
 의왕시,"31170",241394006,"06-1(B)"
 의왕시,"31170",241395002,"10"
 의왕시,"31170",241397007,"08"
 의왕시,"31170",241401001,"11"
 의왕시,"31170",241401002,"12"
 의왕시,"31170",241401003,"13"
 의왕시,"31170",241453001,"09C"
 의왕시,"31170",241453002,"07"
 의왕시,"31170",241453003,"09A"
 의왕시,"31170",241453004,"09B"
 의왕시,"31170",241453008,"01"
 의왕시,"31170",241453012,"02오메기"
 의왕시,"31170",241453013,"02의왕역A"
 의왕시,"31170",241453014,"02의왕역B"
 의왕시,"31170",241453015,"05"
 의왕시,"31170",241453016,"05-1"
 의왕시,"31170",241453017,"07-1"
 의정부시,"31030",207000002,"72-1"
 의정부시,"31030",207000003,"1-9"
 의정부시,"31030",207000004,"10-1"
 의정부시,"31030",207000009,"1-1"
 의정부시,"31030",207000016,"1"
 의정부시,"31030",207000019,"3"
 의정부시,"31030",207000021,"7"
 의정부시,"31030",207000025,"11"
 의정부시,"31030",207000026,"133"
 의정부시,"31030",207000027,"36"
