"nodeid","nodenm","nodeno","gpslati","gpslong","nodeord","routeid"
"GGB226000109","월암종점","27016","37.3024167","126.95635","1","GGB226000022"
"GGB226000108","잿말.레솔레파크","27021","37.3046167","126.9560167","2","GGB226000022"
"GGB226000231","장안마을.부곡동주민센터","27225","37.3190667","126.9577833","3","GGB226000022"
"GGB226000099","의왕역2번출구","27002","37.3215667","126.9489167","4","GGB226000022"
"GGB226000097","금천마을","27014","37.3292667","126.9530667","5","GGB226000022"
"GGB226000090","의왕보건소.노인복지관.청소년수련관","27066","37.34345","126.9725167","6","GGB226000022"
"GGB226000194","의왕소방서.원효솔거아파트","27387","37.3443667","126.97585","7","GGB226000022"
"GGB226000039","의왕톨게이트","27113","37.3471","126.985","8","GGB226000022"
"GGB226000258","백운사거리","27248","37.3735333","127.0045667","9","GGB226000022"
"GGB226000256","롯데프리미엄아울렛타임빌라스정문","27246","37.3754167","127.0078","10","GGB226000022"
"GGB226000113","원터마을","27130","37.3942667","127.0231333","11","GGB226000022"
"GGB277104449","서판교IC(경유)",,"37.3892","127.07045","12","GGB226000022"
"GGB277103649","고등IC(경유)",,"37.42585","127.0908333","13","GGB226000022"
"GGB277103650","헌릉IC(경유)",,"37.4657","127.0905667","14","GGB226000022"
"GGB277103727","내곡IC(경유)",,"37.4588","127.0755333","15","GGB226000022"
"GGB277103725","염곡IC(경유)",,"37.4601833","127.0532333","16","GGB226000022"
"GGB277101628","교육개발원입구(경유)",,"37.4799667","127.0383833","17","GGB226000022"
"GGB121000214","양재역","90087","37.4833833","127.03555","18","GGB226000022"
"GGB277101752","양재전화국(경유)",,"37.4856667","127.0409667","19","GGB226000022"
"GGB277104253","강남베드로병원(경유)",,"37.48525","127.0377833","20","GGB226000022"
"GGB121000969","양재역엘타워빌딩","90254","37.4826","127.0356333","21","GGB226000022"
"GGB277104385","교육개발원입구교차로(경유)",,"37.47775","127.0384","22","GGB226000022"
"GGB277103726","염곡IC(경유)",,"37.4602167","127.0521333","23","GGB226000022"
"GGB277103728","내곡IC(경유)",,"37.4583167","127.0749833","24","GGB226000022"
"GGB277103651","헌릉IC(경유)",,"37.4655167","127.0906667","25","GGB226000022"
"GGB277103648","고등IC(경유)",,"37.4259167","127.0903","26","GGB226000022"
"GGB277104448","서판교IC(경유)",,"37.3892667","127.0697833","27","GGB226000022"
"GGB226000122","원터마을","27131","37.3945667","127.0223167","28","GGB226000022"
"GGB226000255","롯데프리미엄아울렛타임빌라스정문","27245","37.3758667","127.0074","29","GGB226000022"
"GGB226000259","의일마을.백운사거리","27249","37.37415","127.0036667","30","GGB226000022"
"GGB277103220","의왕터널진입(경유)",,"37.3656667","126.9992333","31","GGB226000022"
"GGB226000038","의왕톨게이트","27112","37.3485167","126.9845","32","GGB226000022"
"GGB226000005","원효충무아파트","27085","37.3457333","126.9771333","33","GGB226000022"
"GGB226000163","의왕보건소.의왕경찰서","27158","37.3439","126.9730333","34","GGB226000022"
"GGB226000082","금천마을","27013","37.32935","126.95285","35","GGB226000022"
"GGB226000080","의왕역2번출구","27004","37.3214167","126.9487333","36","GGB226000022"
"GGB226000138","장안마을.부곡동주민센터","27026","37.31965","126.95745","37","GGB226000022"
"GGB226000071","잿말.레솔레파크","27022","37.3045","126.9559167","38","GGB226000022"
"GGB226000070","월암종점","27015","37.30295","126.9558667","39","GGB226000022"
"GGB207000395","낙양동공영차고지","8388","37.7478833","127.0856833","1","GGB207000002"
"GGB207000534","산들마을2단지","8536","37.7438","127.0962333","2","GGB207000002"
"GGB207000123","산들마을4단지","8290","37.7416667","127.09675","3","GGB207000002"
"GGB207000109","민락중학교","8287","37.7402","127.0958333","4","GGB207000002"
"GGB207000149","산들마을1단지남문","8272","37.7408667","127.0925167","5","GGB207000002"
"GGB207000113","송현고등학교.장애인종합복지관","8270","37.7433333","127.0918167","6","GGB207000002"
"GGB207000631","송현고등학교","8605","37.7443667","127.0911833","7","GGB207000002"
"GGB207000148","송산주공2.5단지","8259","37.7443","127.0881667","8","GGB207000002"
"GGB207000147","의정부고용노동지청.동부보건과","8252","37.7438833","127.0849","9","GGB207000002"
"GGB207000146","송산주공1.9단지","8246","37.7482833","127.08105","10","GGB207000002"
"GGB207000488","의정부세관","8507","37.7499667","127.0797","11","GGB207000002"
"GGB207000145","효자중.고등학교","8237","37.7508833","127.0774833","12","GGB207000002"
"GGB207000552","삼성진흥래미안아파트정문","8553","37.7502667","127.0727333","13","GGB207000002"
"GGB207000553","경기도청북부청사역","8554","37.7507","127.0716167","14","GGB207000002"
"GGB207000288","홈플러스","8328","37.75125","127.0697333","15","GGB207000002"
"GGB207000093","금오현대아이파크아파트","8210","37.7507","127.0674333","16","GGB207000002"
"GGB207000092","천보중학교","8207","37.7501667","127.06525","17","GGB207000002"
"GGB207000481","드림밸리아파트.새말역","8487","37.7482833","127.0647","18","GGB207000002"
"GGB207000141","의정부우체국","8200","37.7473167","127.0637","19","GGB207000002"
"GGB207000165","극동.동성아파트","8192","37.7452","127.0600167","20","GGB207000002"
"GGB207000087","신곡중학교","8187","37.7427","127.0591667","21","GGB207000002"
"GGB207000086","은하수아파트","8179","37.7411667","127.0583","22","GGB207000002"
"GGB207000085","신동초.신동아파밀리에아파트앞","8171","37.7400167","127.0568333","23","GGB207000002"
"GGB207000084","의암교회앞","8180","37.7321167","127.05855","24","GGB207000002"
"GGB207000012","서해.한일.삼익아파트","8184","37.7306","127.0588833","25","GGB207000002"
"GGB207000007","장암주공5단지앞","8190","37.7279","127.05945","26","GGB207000002"
"GGB207000280","장암주공2단지.장암우성아파트","8320","37.72425","127.06025","27","GGB207000002"
"GGB277103759","장암IC(경유)",,"37.7197833","127.0612","28","GGB207000002"
"GGB207000282","쌍암사입구","8322","37.70655","127.0574833","29","GGB207000002"
"GGB207000284","장암역.석림사입구","8324","37.7000167","127.0533167","30","GGB207000002"
"GGB110000102","수락리버시티아파트",,"37.6894167","127.05515","31","GGB207000002"
"GGB110000104","수락중고등학교","79077","37.6828667","127.0552167","32","GGB207000002"
"GGB110000106","은빛아파트2단지","79075","37.6802333","127.0551167","33","GGB207000002"
"GGB110000097","수락산역","79004","37.67725","127.0551333","34","GGB207000002"
"GGB110000098","노일초등학교","79006","37.6734667","127.0553","35","GGB207000002"
"GGB110000167","상계주공15단지","79008","37.6683","127.0566","36","GGB207000002"
"GGB110000168","상계주공11단지","79012","37.6653667","127.0574","37","GGB207000002"
"GGB110000087","상계주공7단지","79088","37.6609333","127.0598833","38","GGB207000002"
"GGB110000088","상계주공7단지.광림교회앞","79087","37.6605","127.06265","39","GGB207000002"
"GGB110000093","온곡중학교노원정보도서관","79086","37.6592167","127.0643667","40","GGB207000002"
"GGB110000108","상계초등학교","79085","37.65765","127.0659","41","GGB207000002"
"GGB110000110","노원역9번출구","79119","37.6561333","127.0619667","42","GGB207000002"
"GGB110000085","도봉면허시험장","79019","37.6571833","127.0600167","43","GGB207000002"
"GGB110000083","상계주공7단지","79017","37.6602833","127.0591","44","GGB207000002"
"GGB110000080","상계주공9단지","79015","37.6627833","127.0584667","45","GGB207000002"
"GGB110000173","상계주공12단지","79011","37.6663167","127.0575667","46","GGB207000002"
"GGB110000172","상계주공14단지","79009","37.6689","127.0569167","47","GGB207000002"
"GGB110000099","노원초등학교","79007","37.6726167","127.05595","48","GGB207000002"
"GGB110000096","수락산역3번출구","79005","37.6768833","127.0555333","49","GGB207000002"
"GGB110000107","홍파복지원미주아파트","79074","37.6798667","127.0556167","50","GGB207000002"
"GGB110000105","수락중고등학교","79076","37.6829333","127.05565","51","GGB207000002"
"GGB110000052","수락리버시티아파트",,"37.6891167","127.0555833","52","GGB207000002"
"GGB207000285","장암역.석림사입구","8325","37.7001667","127.05485","53","GGB207000002"
"GGB207000283","쌍암사입구","8323","37.7055833","127.0574","54","GGB207000002"
"GGB277103760","장암IC(경유)",,"37.7197","127.0615","55","GGB207000002"
"GGB207000281","장암우성아파트.장암주공2단지","8321","37.7242333","127.0606167","56","GGB207000002"
"GGB207000015","장암주공5단지.한국.풍림아파트","8191","37.7274","127.0599833","57","GGB207000002"
"GGB207000010","서해아파트","8188","37.7303333","127.0593333","58","GGB207000002"
"GGB207000083","의암교회","8182","37.73285","127.0588","59","GGB207000002"
"GGB207000082","추동아파트","8172","37.7399833","127.0572833","60","GGB207000002"
