"nodeid","nodenm","nodeno","gpslati","gpslong","nodeord","routeid"
"GGB239000272","목동터미널","44576","37.8869167","127.5491167","1","GGB239000002"
"GGB239000271","범바위","44597","37.8900667","127.5470667","2","GGB239000002"
"GGB239000439","제령리정미소","44352","37.89415","127.5397333","3","GGB239000002"
"GGB239000063","까막둥지","44279","37.8952167","127.5333167","4","GGB239000002"
"GGB239000062","제령리상촌","44462","37.8965","127.5288333","5","GGB239000002"
"GGB239000442","홍은교회앞","44350","37.89935","127.52395","6","GGB239000002"
"GGB239000441","제령리약수터","44351","37.9014667","127.51785","7","GGB239000002"
"GGB239000061","가둘기","44280","37.9000667","127.5115833","8","GGB239000002"
"GGB239000845","상가둘기","44814","37.8958","127.50815","9","GGB239000002"
"GGB239000443","백둔리입구","44505","37.8989167","127.5040833","10","GGB239000002"
"GGB239000444","오목벌(밤벌.용수동방향)","44504","37.9106333","127.49445","11","GGB239000002"
"GGB239000445","오목골","44349","37.9182167","127.4964667","12","GGB239000002"
"GGB239000060","대촌마을","44281","37.9246667","127.4943833","13","GGB239000002"
"GGB239000059","양지말","44463","37.9301","127.49285","14","GGB239000002"
"GGB239000446","명지산입구","44348","37.9354667","127.4897333","15","GGB239000002"
"GGB239000447","선바위","44347","37.9393833","127.48765","16","GGB239000002"
"GGB239000058","도솔천사","44282","37.9421","127.4885","17","GGB239000002"
"GGB239000847","벨리하우스","44815","37.9457333","127.4816833","18","GGB239000002"
"GGB239000642","낡은터","44548","37.9512333","127.4799167","19","GGB239000002"
"GGB239000057","명지산참숯","44283","37.9525167","127.4784167","20","GGB239000002"
"GGB239000056","바깥말","44284","37.9539833","127.4763667","21","GGB239000002"
"GGB239000055","관청마을","44464","37.9585167","127.47225","22","GGB239000002"
"GGB239000448","미약골(용수동방향)","44503","37.9646333","127.4681333","23","GGB239000002"
"GGB239000449","백자동유원지","44346","37.9659167","127.4643667","24","GGB239000002"
"GGB239000450","명화동삼거리","44345","37.96945","127.4590167","25","GGB239000002"
"GGB239000850","명화동","44817","37.9683833","127.4570667","26","GGB239000002"
"GGB239000852","텃바위","44819","37.9633","127.4521","27","GGB239000002"
"GGB239000025","성관사","44233","37.9638833","127.4488833","28","GGB239000002"
"GGB239000024","소락개마을","44471","37.9651","127.4443167","29","GGB239000002"
"GGB239000854","적목공원묘지앞","44821","37.9656","127.4324167","30","GGB239000002"
"GGB239000856","논남교앞","44647","37.9698","127.42725","31","GGB239000002"
"GGB239000023","논남","44234","37.9684667","127.4222833","32","GGB239000002"
"GGB239000874","가는골","44847","37.9675333","127.4186167","33","GGB239000002"
"GGB239000841","강씨봉휴양림","44804","37.9688","127.4133167","34","GGB239000002"
"GGB239000875","가는골","44848","37.96745","127.41865","35","GGB239000002"
"GGB239000873","논남","44846","37.9684","127.42235","36","GGB239000002"
"GGB239000855","논남교앞","44822","37.9697167","127.4272667","37","GGB239000002"
"GGB239000853","적목공원묘지앞","44820","37.9655833","127.4323","38","GGB239000002"
"GGB239000451","소락개마을","44359","37.965","127.4444167","39","GGB239000002"
"GGB239000452","성관사","44502","37.9638333","127.4487833","40","GGB239000002"
"GGB239000851","텃바위","44818","37.9631","127.4521333","41","GGB239000002"
"GGB239000849","명화동","44816","37.9683167","127.4571167","42","GGB239000002"
"GGB239000453","명지분교","44358","37.9706167","127.45535","43","GGB239000002"
"GGB239000054","점말부락","44285","37.9740833","127.45045","44","GGB239000002"
"GGB239000053","가림마을","44286","37.9766833","127.4438667","45","GGB239000002"
"GGB239000857","솔둔지","44823","37.98095","127.44685","46","GGB239000002"
"GGB239000052","용수동종점","44287","37.98685","127.4374667","47","GGB239000002"
"GGB277102008","용수동종점(경유)",,"37.9832167","127.4417","48","GGB239000002"
"GGB239000858","솔둔지","44824","37.9808833","127.4467667","49","GGB239000002"
"GGB239000454","가림마을(목동방면)","44501","37.9767","127.4437","50","GGB239000002"
"GGB239000051","점말부락","44465","37.9739167","127.4503833","51","GGB239000002"
"GGB239000049","명화동삼거리","44289","37.9693833","127.4588","52","GGB239000002"
"GGB239000048","백자동유원지","44217","37.9657667","127.4644333","53","GGB239000002"
"GGB239000047","미약골","44466","37.9645167","127.4677333","54","GGB239000002"
"GGB239000046","관청마을","44218","37.9585333","127.4720167","55","GGB239000002"
"GGB239000455","바깥말(목동방면)","44357","37.9544167","127.4757833","56","GGB239000002"
"GGB239000456","명지산참숯(목동방면)","44356","37.9522167","127.4787333","57","GGB239000002"
"GGB239000045","낡은터","44219","37.9510833","127.4798667","58","GGB239000002"
"GGB239000848","벨리하우스","44440","37.9458833","127.48115","59","GGB239000002"
"GGB239000457","도솔천사(목동방면)","44500","37.9421","127.4882833","60","GGB239000002"
"GGB239000044","선바위","44220","37.9393833","127.4873833","61","GGB239000002"
"GGB239000043","명지산입구","44467","37.9355","127.4894667","62","GGB239000002"
"GGB239000042","양지말","44221","37.9296833","127.49305","63","GGB239000002"
"GGB239000458","대촌마을(목동방면)","44355","37.9246667","127.4941667","64","GGB239000002"
"GGB239000041","오목골","44222","37.9182","127.49625","65","GGB239000002"
"GGB239000040","오목벌","44223","37.9106333","127.4942667","66","GGB239000002"
"GGB239000039","백둔리입구","44198","37.8989167","127.5039833","67","GGB239000002"
"GGB239000846","상가둘기","44193","37.89565","127.5080333","68","GGB239000002"
"GGB239000459","가둘기(목동방면)","44354","37.9000333","127.5117","69","GGB239000002"
"GGB239000038","제령리약수터","44224","37.9013833","127.5178667","70","GGB239000002"
"GGB239000037","홍은교회앞","44225","37.8992833","127.5238833","71","GGB239000002"
