"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"01001","100000001",종로2가사거리,"126.9877498816","37.5697651251","198917.9254237996","452252.38109693537",N,서울,"100100073|123000010|100100585","470|741|N37"
"01002","100000002",창경궁.서울대학교병원,"126.9965660023","37.5791830159","199696.70712279636","453297.481226997",N,서울,"100100549|100100007|100100009|100100011|100100012|100100013|100100019|100100022|100100029|100100030|100100033|100100034|100100036|100100037|100100048|100100051|100100110","100|102|104|106|107|108|140|143|150|151|160|162|171|172|272|301|710"
"01003","100000003",명륜3가.성대입구,"126.9983401004","37.5826711749","199853.40344353596","453684.5812867996",N,서울,"100100549|100100007|100100009|100100011|100100012|100100013|100100019|100100022|100100029|100100030|100100033|100100034|100100036|100100037|100100048|100100051|100100110","100|102|104|106|107|108|140|143|150|151|160|162|171|172|272|301|710"
"01004","100000004",종로2가.삼일교,"126.9876130976","37.5685792736","198905.82570402705","452120.78107867856",N,서울,"100100002|100100002|100100002|100100073|100100077|100100103|123000010|100100585","03|03|03|470|501|701|741|N37"
"01005","100000005",혜화동로터리.여운형활동터,"127.001744","37.586243","200154.0166518581","454080.97095198696",N,서울,"100100549|100100007|100100009|100100011|100100012|100100013|100100019|100100022|100100029|100100030|100100033|100100034|100100036|100100037|100100048|100100110","100|102|104|106|107|108|140|143|150|151|160|162|171|172|272|710"
"01101","100000006",경기상고,"126.9693634554","37.5875502159","197294.46355373668","454226.4813663401",N,서울,"100100185|100100447|100100338|107000003","1711|7016|7018|8002"
"01102","100000007",신교동,"126.9702626865","37.5832955233","197373.72585649847","453754.2838076353",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499|107000003","1020|1711|7016|7018|7022|7212|8002"
"01103","100000008",경기상고,"126.9697701102","37.5871907861","197330.3627104076","454186.58135999367",N,서울,"100100185|100100447|100100338|107000003","1711|7016|7018|8002"
"01104","100000009",경복고교,"126.9710436571","37.585113193","197442.7600691161","453955.98132947786",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01105","100000010",청운중학교,"126.9725135095","37.5878519552","197572.65702081478","454259.88136444706",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01106","100000011",자하문고개.윤동주문학관,"126.9671261805","37.5921866176","197097.0681957185","454741.08143204544",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01107","100000012",자하문고개.윤동주문학관,"126.9671906625","37.5923353152","197102.76806159364","454757.5814394392",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01108","100000013",청운중학교,"126.9724613198","37.5881285775","197568.05712787007","454290.5813766965",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01109","100000014",경복고교,"126.9711546793","37.5849663426","197452.5598390717","453939.68133108225",N,서울,"100100131|100100341|100100499","1020|7022|7212"
"01110","100000015",통인시장종로구보건소,"126.9710500404","37.5803257033","197443.160068195","453424.68126113946",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499|107000003","1020|1711|7016|7018|7022|7212|8002"
"01111","100000016",통인시장종로구보건소,"126.9713851083","37.5805132118","197472.7593667763","453445.4812646024",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499","1020|1711|7016|7018|7022|7212"
"01112","100000017",효자동,"126.9706209712","37.583091043","197405.36095424346","453731.58129707025",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499","1020|1711|7016|7018|7022|7212"
"01113","100000018",사직단.어린이도서관,"126.9679907155","37.5751355316","197172.76641154542","452848.7811833387",N,서울,"104000008|104000008|100100036|100100048|100100091|100100446|123000011|100100110","01B|01B|171|272|606|7025|708|710"
"01114","100000019",사직동주민센터,"126.9713244962","37.5761834563","197467.2595020813","452964.9811974466",N,서울,"104000008|104000008|100100036|100100048|100100091|100100446|123000011|100100110|107000003","01B|01B|171|272|606|7025|708|710|8002"
"01115","100000020",경복궁역,"126.97219601","37.5768666917","197544.25768831503","453040.7812039363",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499|107000003","1020|1711|7016|7018|7022|7212|8002"
"01116","100000021",경복궁역,"126.9722828893","37.5776713863","197551.95750719603","453130.0812197444",N,서울,"100100131|100100185|100100447|100100338|100100341|100100499","1020|1711|7016|7018|7022|7212"
"01117","100000022",경복궁,"126.9787471496","37.5755767894","198122.84409277016","452897.4811813547",N,서울,"104000007|104000007|100100002|100100002|100100002|106000002|100100131|100100014|100100036|100100048|100100086|100100091|100100446|100100110","01A|01A|03|03|03|04|1020|109|171|272|601|606|7025|710"
"01118","100000023",KT광화문지사,"126.9773320672","37.5722264424","197997.7673776218","452525.70043978654",N,서울,"100100002|100100002|100100002|106000002|100100131|100100014|100100185|100100091|100100447|100100338|123000011|100100499","03|03|03|04|1020|109|1711|606|7016|7018|708|7212"
"01120","100000025",광화문,"126.9763838838","37.569845398","197913.9490081057","452261.48109927494",Y,서울,"100100085|100100087|100100339","600|602|7019"
"01123","100000028",서울역사박물관.경교장.강북삼성병원,"126.971248","37.570023","197460.29383491562","452281.3171539018",N,서울,"100100006|100100073|100100086|100100107|100100111|123000010|100100585","101|470|601|704|720|741|N37"
"01124","100000029",광화문.금호아시아나본관앞,"126.9731335513","37.5702880403","197626.85574887195","452310.6811039322",N,서울,"100100073|100100086","470|601"
"01125","100000030",광화문,"126.975837","37.570365","197865.65667565286","452319.156981173",N,서울,"100100107","704"
"01126","100000031",세종문화회관,"126.976857107","37.5735900058","197955.85195638335","452677.0342042651",N,서울,"100100185|100100062|100100064|100100440|100100447|100100338|100100341|100100107|100100511|100100499","1711|401|406|700|7016|7018|7022|704|707|7212"
"01127","100000032",서울경찰청.경복궁역,"126.9714842989","37.5757446636","197481.35916616104","452916.2811836945",N,서울,"104000007|104000007|100100036|100100048|100100086|100100091|100100440|100100446|100100511|100100110|100100398","01A|01A|171|272|601|606|700|7025|707|710|9703"
"01128","100000033",사직단,"126.968188961","37.5748553458","197190.26600204443","452817.6811764585",N,서울,"104000007|104000007|100100036|100100048|100100086|100100091|100100440|100100446|100100511|100100110|100100398","01A|01A|171|272|601|606|700|7025|707|710|9703"
"01129","100000034",광화문광화문빌딩,"126.9766885086","37.5696876081","197940.85268179633","452243.96341380803",N,서울,"100100440|100100511|100100398|100100406","700|707|9703|9714"
"01130","100000035",덕성여중고,"126.9820170203","37.5759017489","198411.6620037045","452933.4837741223",N,서울,"104000008|104000008|100100036|100100048|100100062|100100064|100100341|100100446|100100107|100100110","01B|01B|171|272|401|406|7022|7025|704|710"
