"adm_nm","adm_cd","node_id","node_no"
 가평군,"31370",239000002,"50-5"
 가평군,"31370",239000005,"40-5"
 가평군,"31370",239000006,"43"
 가평군,"31370",239000007,"40-6"
 가평군,"31370",239000010,"30-5"
 가평군,"31370",239000011,"30-3"
 가평군,"31370",239000012,"80"
 가평군,"31370",239000013,"30-6"
 가평군,"31370",239000014,"40-2"
 가평군,"31370",239000016,"30-1"
 가평군,"31370",239000024,"1330-44"
 가평군,"31370",239000027,"50-1"
 가평군,"31370",239000028,"50-4"
 가평군,"31370",239000031,"73-1"
 가평군,"31370",239000032,"10-4"
 가평군,"31370",239000033,"12"
 가평군,"31370",239000036,"10-6"
 가평군,"31370",239000038,"74-1"
 가평군,"31370",239000040,"40-4"
 가평군,"31370",239000041,"74-2"
 가평군,"31370",239000044,"20-1"
 가평군,"31370",239000045,"20-3"
 가평군,"31370",239000046,"50-2"
 가평군,"31370",239000047,"60-29"
 가평군,"31370",239000048,"71-1"
 가평군,"31370",239000058,"71-3"
 가평군,"31370",239000065,"20-2"
 가평군,"31370",239000068,"20-5"
 가평군,"31370",239000072,"20-4"
 가평군,"31370",239000078,"30-7"
 가평군,"31370",239000079,"23"
 가평군,"31370",239000082,"30-2"
 가평군,"31370",239000084,"10-7"
 가평군,"31370",239000101,"71-4"
 가평군,"31370",239000104,"8005"
 가평군,"31370",239000110,"1330-2"
 가평군,"31370",239000111,"1330-4"
 가평군,"31370",239000112,"15"
 가평군,"31370",239000119,"50-3"
 가평군,"31370",239000120,"60-19"
 가평군,"31370",239000121,"60-10"
 가평군,"31370",239000129,"41"
 가평군,"31370",239000135,"1330-3"
 가평군,"31370",239000137,"30-9"
 가평군,"31370",239000138,"40-8"
 가평군,"31370",239000139,"7000"
 가평군,"31370",239000140,"7001"
 가평군,"31370",239000141,"7002"
 가평군,"31370",239000142,"30-8"
 가평군,"31370",239000143,"71-2"
 가평군,"31370",239000144,"74-3"
 가평군,"31370",239000145,"15-3"
 가평군,"31370",239000146,"15-1"
 가평군,"31370",239000147,"15-2"
 가평군,"31370",239000148,"15-4"
 가평군,"31370",239000149,"15-5"
 가평군,"31370",239000153,"23-1"
 고양시,"31100",218000001,"85"
 고양시,"31100",218000002,"85-1"
 고양시,"31100",218000006,"97"
 고양시,"31100",218000007,"1001"
 고양시,"31100",218000010,"1500"
 고양시,"31100",218000011,"1100"
 고양시,"31100",218000012,M7106
 고양시,"31100",218000012,M7106
 고양시,"31100",218000018,"88A"
 고양시,"31100",218000019,"88B"
 고양시,"31100",218000020,M7129
 고양시,"31100",218000105,M7731
 고양시,"31100",218000107,"60"
 고양시,"31100",218000111,"999"
 고양시,"31100",218000112,M7646
 고양시,"31100",218000116,"730"
 고양시,"31100",219000001,"11"
 고양시,"31100",219000004,"871"
 고양시,"31100",219000005,"82"
 고양시,"31100",219000006,"1082"
 고양시,"31100",219000008,"55"
 고양시,"31100",219000013,"1000"
 고양시,"31100",219000015,"921"
 고양시,"31100",219000016,"1200"
 고양시,"31100",219000021,"72"
 고양시,"31100",219000023,"870"
 고양시,"31100",219000025,"3300"
 고양시,"31100",219000026,"9700"
 고양시,"31100",219000027,"1900"
 고양시,"31100",229000017,"830"
 고양시,"31100",229000018,"66"
 고양시,"31100",229000035,"333"
 고양시,"31100",229000060,"790"
 고양시,"31100",229000063,"850"
 고양시,"31100",229000071,"799"
 고양시,"31100",232000003,"96"
 고양시,"31100",232000004,"95"
 고양시,"31100",241210001,N001
 고양시,"31100",241210002,N002
 고양시,"31100",241210003,N003
 고양시,"31100",241210005,N005
 고양시,"31100",241210007,N007
 고양시,"31100",241210008,N006A
 고양시,"31100",241210009,N006B
 고양시,"31100",241227002,"017A"
 고양시,"31100",241227003,"019"
 고양시,"31100",241227004,"017B"
 고양시,"31100",241293001,"025"
 고양시,"31100",241293002,"026"
 고양시,"31100",241293003,"036"
 고양시,"31100",241293004,"037"
 고양시,"31100",241293005,"058"
 고양시,"31100",241293006,"059"
 고양시,"31100",241293007,"088"
 고양시,"31100",241294002,"060"
 고양시,"31100",241295703,"038"
 고양시,"31100",241295704,"050"
 고양시,"31100",241295707,"010"
 고양시,"31100",241295708,"039"
 고양시,"31100",241298003,"065"
 고양시,"31100",241299001,"063"
 고양시,"31100",241299002,"057"
 고양시,"31100",241299003,"062"
 고양시,"31100",241299704,"056(도촌)"
 고양시,"31100",241299705,"056(멱절)"
 고양시,"31100",241299706,"056(서촌)"
 고양시,"31100",241299708,"061"
 고양시,"31100",241304002,"018"
 고양시,"31100",241304005,"012"
 고양시,"31100",241304006,"016"
 고양시,"31100",241304707,"013"
 고양시,"31100",241306001,"077A"
 고양시,"31100",241306002,"077B"
 고양시,"31100",241306702,"076"
 고양시,"31100",241306703,"093"
 고양시,"31100",241306704,"094"
 고양시,"31100",241308701,"011"
 고양시,"31100",241309001,"066"
 고양시,"31100",241309702,"068"
 고양시,"31100",241309703,"069"
 고양시,"31100",241310001,"090"
 고양시,"31100",241310002,"091"
 고양시,"31100",241310003,"092"
 고양시,"31100",241310004,"095"
 고양시,"31100",241312001,"032"
 고양시,"31100",241312008,"035"
 고양시,"31100",241312013,"030"
 고양시,"31100",241312014,"022"
 고양시,"31100",241312015,"023"
 고양시,"31100",241312016,"024A"
 고양시,"31100",241312017,"024B"
 고양시,"31100",241313001,"027"
 고양시,"31100",241313002,"028"
 고양시,"31100",241313003,"029A"
 고양시,"31100",241313004,"029B"
 고양시,"31100",241313005,"015"
 고양시,"31100",241314001,"021"
 고양시,"31100",241314002,"020"
 고양시,"31100",241325001,"072"
 고양시,"31100",241325002,"071"
 고양시,"31100",241325003,"073"
 고양시,"31100",241325004,"074"
 고양시,"31100",241325005,"079"
 고양시,"31100",241326001,"070"
 고양시,"31100",241326003,"078"
 고양시,"31100",241327001,"080"
 고양시,"31100",241327002,"082A"
 고양시,"31100",241327003,"081"
 고양시,"31100",241327005,"089"
 고양시,"31100",241327007,"082B"
 고양시,"31100",241328002,"053"
 고양시,"31100",241328003,"052"
 고양시,"31100",241328004,"055"
 고양시,"31100",241328005,"051"
 고양시,"31100",241328006,"033"
 고양시,"31100",241331001,"097"
 고양시,"31100",241331002,"098"
 고양시,"31100",241331003,"099"
 고양시,"31100",241333001,"031"
 고양시,"31100",241334001,"034"
 고양시,"31100",241352001,"040"
 고양시,"31100",241352002,"043(원당역)"
 고양시,"31100",241352003,"042"
 고양시,"31100",241352004,"043"
 고양시,"31100",241352005,"045"
 고양시,"31100",241352006,"048"
 고양시,"31100",241352007,"075A"
 고양시,"31100",241352008,"047"
 고양시,"31100",241352009,"075B"
 고양시,"31100",241352010,"046"
 고양시,"31100",241352011,"041B"
 고양시,"31100",241486001,"087"
 과천시,"31110",220000012,"6"
 과천시,"31110",220000022,"8"
 과천시,"31110",220000023,"8-1"
 과천시,"31110",241329003,"1"
 과천시,"31110",241329004,"2"
 과천시,"31110",241329005,"3"
 과천시,"31110",241329007,"5"
 광명시,"31060",208000066,G9633
 광명시,"31060",213000002,"21"
 광명시,"31060",213000003,"27"
 광명시,"31060",213000004,"12"
 광명시,"31060",213000005,"17"
 광명시,"31060",213000006,"1"
 광명시,"31060",213000007,"11-1"
 광명시,"31060",213000008,"11"
 광명시,"31060",213000009,"39"
 광명시,"31060",213000010,"22"
 광명시,"31060",213000011,"11-2"
 광명시,"31060",213000014,"11-3"
 광명시,"31060",213000015,"3001"
 광명시,"31060",213000016,"101"
 광명시,"31060",213000017,"2"
 광명시,"31060",213000019,"3002"
 광명시,"31060",213000024,"8507"
 광명시,"31060",213000026,"77"
 광명시,"31060",213000027,"102"
 광명시,"31060",241274001,"1"
 광명시,"31060",241274002,"1-1"
 광명시,"31060",241274004,"1-3"
 광명시,"31060",241274004,"1-3"
 광명시,"31060",241274006,"88"
 광명시,"31060",241274007,"99"
 광주시,"31250",204000025,"521"
 광주시,"31250",218000005,"3200"
 광주시,"31250",222000105,M2316
 광주시,"31250",230000176,"20-52"
 광주시,"31250",234000003,"30"
 광주시,"31250",234000009,"32"
 광주시,"31250",234000011,"1113-1"
 광주시,"31250",234000012,"17"
 광주시,"31250",234000021,"700-2"
 광주시,"31250",234000024,"720-1"
 광주시,"31250",234000026,"720-2"
 광주시,"31250",234000034,"16"
 광주시,"31250",234000038,"65"
 광주시,"31250",234000039,"114"
 광주시,"31250",234000040,"119"
 광주시,"31250",234000044,"520"
 광주시,"31250",234000046,"660"
 광주시,"31250",234000057,"31-3"
 광주시,"31250",234000059,"1"
 광주시,"31250",234000061,"116-1"
 광주시,"31250",234000070,"8"
 광주시,"31250",234000072,"13"
 광주시,"31250",234000075,"500-2"
 광주시,"31250",234000078,"111"
 광주시,"31250",234000079,"500-1"
 광주시,"31250",234000082,"13-2"
 광주시,"31250",234000083,"12"
 광주시,"31250",234000095,"9"
 광주시,"31250",234000132,"2-2"
 광주시,"31250",234000150,"2-1"
 광주시,"31250",234000213,"2"
 광주시,"31250",234000316,"60"
 광주시,"31250",234000317,"32-1"
 광주시,"31250",234000360,"988-1"
 광주시,"31250",234000446,"10"
 광주시,"31250",234000448,"28-1"
 광주시,"31250",234000470,"21"
 광주시,"31250",234000495,"947A"
 광주시,"31250",234000505,"15-1"
 광주시,"31250",234000512,"25-8"
 광주시,"31250",234000514,"29-5"
 광주시,"31250",234000517,"29-6"
 광주시,"31250",234000519,"29-7"
 광주시,"31250",234000521,"29-8"
 광주시,"31250",234000530,"25-4"
 광주시,"31250",234000531,"25-41"
 광주시,"31250",234000533,"25-5"
 광주시,"31250",234000538,"27"
 광주시,"31250",234000540,"27-1"
 광주시,"31250",234000542,"27-2"
 광주시,"31250",234000544,"27-3"
 광주시,"31250",234000545,"27-31"
 광주시,"31250",234000547,"27-4"
 광주시,"31250",234000553,"35-1"
 광주시,"31250",234000556,"35-3"
 광주시,"31250",234000586,"35-5"
 광주시,"31250",234000586,"35-5"
 광주시,"31250",234000798,"38-2"
 광주시,"31250",234000805,"38"
 광주시,"31250",234000813,"35-6"
 광주시,"31250",234000824,"34-1"
 광주시,"31250",234000829,"33-2"
 광주시,"31250",234000849,"17-1"
 광주시,"31250",234000850,"31-2"
 광주시,"31250",234000860,"988-3"
 광주시,"31250",234000861,"988-2"
 광주시,"31250",234000862,"989-3"
 광주시,"31250",234000875,M4101
 광주시,"31250",234000901,"38-8"
 광주시,"31250",234000929,"35-32"
 광주시,"31250",234000956,"38-51"
 광주시,"31250",234000960,"1-21"
 광주시,"31250",234000995,M4403
 광주시,"31250",234000996,"39-1"
 광주시,"31250",234000997,"114-1"
 광주시,"31250",234000998,"36-7"
 광주시,"31250",234001001,"39-6"
 광주시,"31250",234001003,"37-2"
 광주시,"31250",234001007,"37-3"
 광주시,"31250",234001008,"37-32"
 광주시,"31250",234001009,"39-4"
 광주시,"31250",234001010,"36-9"
 광주시,"31250",234001011,"36-6"
 광주시,"31250",234001012,"39-5"
 광주시,"31250",234001013,"39-7"
 광주시,"31250",234001014,"36-10"
 광주시,"31250",234001015,"38-22"
 광주시,"31250",234001016,"38-23"
 광주시,"31250",234001017,"38-21"
 광주시,"31250",234001018,"38-1"
 광주시,"31250",234001019,"38-12"
 광주시,"31250",234001021,"38-42"
 광주시,"31250",234001022,"38-81"
 광주시,"31250",234001023,"38-82"
 광주시,"31250",234001025,"35-35"
 광주시,"31250",234001027,"38-14"
 광주시,"31250",234001028,"35-2"
 광주시,"31250",234001029,"35-21"
 광주시,"31250",234001030,"35"
 광주시,"31250",234001034,"35-36"
 광주시,"31250",234001040,"34"
 광주시,"31250",234001042,"36-5"
