"걸린시간","외부코드","전철명명(영문)","전철역명","전철역코드","호선"
"5","901","Gaehwa","개화","4101","09호선"
"2","902","Gimpo Intl. Airport","김포공항","4102","09호선"
"2","903","Airport Market","공항시장","4103","09호선"
"2","904","Sinbanghwa","신방화","4104","09호선"
"3","905","Magongnaru","마곡나루","4105","09호선"
"2","906","Yangcheon Hyanggyo","양천향교","4106","09호선"
"2","907","Gayang","가양","4107","09호선"
"2","908","Jeungmi","증미","4108","09호선"
"2","909","Deungchon","등촌","4109","09호선"
"2","910","Yeomchang","염창","4110","09호선"
"2","911","Sinmokdong","신목동","4111","09호선"
"2","912","Seonyudo","선유도","4112","09호선"
"3","913","Dangsan","당산","4113","09호선"
"2","914","National Assembly","국회의사당","4114","09호선"
"2","915","Yeouido","여의도","4115","09호선"
"2","916","Saetgang","샛강","4116","09호선"
"2","917","Noryangjin","노량진","4117","09호선"
"2","918","Nodeul","노들","4118","09호선"
"3","919","Heukseok","흑석","4119","09호선"
"2","920","Dongjak","동작","4120","09호선"
"2","921","Gubanpo","구반포","4121","09호선"
"2","922","Sinbanpo","신반포","4122","09호선"
"2","923","Express Bus Terminal","고속터미널","4123","09호선"
"2","924","Sapyeong","사평","4124","09호선"
"2","925","Sinnonhyeon","신논현","4125","09호선"
"2","926","Eonju","언주","4126","09호선"
"2","927","Seonjeongneung","선정릉","4127","09호선"
"2","928","Samseong Jungang","삼성중앙","4128","09호선"
"2","929","Bongeunsa","봉은사","4129","09호선"
"3","930","Sports Complex","종합운동장","4130","09호선"
"2","931","Samjeon","삼전","4131","09호선"
"2","932","Seokchon Gobun","석촌고분","4132","09호선"
"2","933","Seokchon(Hansol Hospital)","석촌","4133","09호선"
"2","934","Songpanaru","송파나루","4134","09호선"
"3","935","Hanseong Baekje","한성백제","4135","09호선"
"2","936","Olympic Park","올림픽공원","4136","09호선"
"3","937","Dunchon Oryun","둔촌오륜","4137","09호선"
"2","810","Amsa","암사","2811","08호선"
"3","811","Cheonho","천호","2812","08호선"
"3","812","Gangdong-gu Office","강동구청","2813","08호선"
"2","813","Mongchontoseong","몽촌토성","2814","08호선"
"3","814","Jamsil","잠실","2815","08호선"
"2","815","Seokchon","석촌","2816","08호선"
"2","816","Songpa","송파","2817","08호선"
"2","817","Garak Market","가락시장","2818","08호선"
"2","818","Munjeong","문정","2819","08호선"
"2","819","Jangji","장지","2820","08호선"
"4","820","Bokjeong","복정","2821","08호선"
"2","821","Sanseong","산성","2822","08호선"
"2","822","Namhansanseong","남한산성입구","2823","08호선"
"2","823","Dandaeogeori","단대오거리","2824","08호선"
"2","824","Sinheung","신흥","2825","08호선"
"2","825","Sujin","수진","2826","08호선"
"2","Y110","Giheung","기흥","4501","용인경전철"
"2","Y111","Kangnam Univ.","강남대","4502","용인경전철"
"2","Y112","Jiseok","지석","4503","용인경전철"
"2","Y113","Eojeong","어정","4504","용인경전철"
"2","Y114","Dongbaek","동백","4505","용인경전철"
"4","Y115","Chodang","초당","4506","용인경전철"
"2","Y116","Samga","삼가","4508","용인경전철"
"2","Y117","City Hall Yongin Univ.","시청.용인대","4509","용인경전철"
"2","Y118","Myongji Univ.","명지대","4510","용인경전철"
"2","Y119","Gimnyangjang","김량장","4511","용인경전철"
"2","Y120","Stadium Songdam College","운동장.송담대","4512","용인경전철"
"3","Y121","Gojin","고진","4513","용인경전철"
"2","Y123","Bopyeong","보평","4514","용인경전철"
"4","Y125","Dunjeon","둔전","4515","용인경전철"
"33","K322","Daegok","대곡","0300","경의선"
"3","K111","Ichon","이촌","1008","경의선"
"3","K113","Hannam","한남","1010","경의선"
"3","K114","Oksu","옥수","1011","경의선"
"2","K115","Eungbong","응봉","1012","경의선"
"4","K116","Wangsimni","왕십리","1013","경의선"
"2","K119","Jungnang","중랑","1201","경의선"
"2","K120","Sangbong","상봉","1202","경의선"
"3","K121","Mangu","망우","1203","경의선"
"4","K122","Yangwon","양원","1204","경의선"
"3","K123","Guri","구리","1205","경의선"
"4","K124","Donong","도농","1206","경의선"
"4","K125","Yangjeong","양정","1207","경의선"
"3","K126","Deokso","덕소","1208","경의선"
"5","K127","Dosim","도심","1209","경의선"
"6","K128","Paldang","팔당","1210","경의선"
"3","K129","Ungilsan","운길산","1211","경의선"
"5","K130","Yangsu","양수","1212","경의선"
"4","K131","Sinwon","신원","1213","경의선"
"3","K132","Guksu","국수","1214","경의선"
"4","K133","Asin","아신","1215","경의선"
"3","K134","Obin","오빈","1216","경의선"
"5","K135","Yangpyeong","양평","1217","경의선"
"5","K136","Wondeok","원덕","1218","경의선"
"4","K137","Yongmun","용문","1219","경의선"
"124","K138","Jipyeong","지평","1220","경의선"
"7","P313","Seoul Station","서울역","1251","경의선"
"23","P312","Sinchon","신촌","1252","경의선"
"2","K826","Hyochang Park","효창공원앞","1261","경의선"
"3","K312","Gongdeok","공덕","1262","경의선"
"2","K313","Sogang Univ.","서강대","1263","경의선"
"3","K314","Hongik Univ.","홍대입구","1264","경의선"
"3","K315","Gajwa","가좌","1265","경의선"
"2","K316","Digital Media City","디지털미디어시티","1266","경의선"
"4","K317","Susaek","수색","1267","경의선"
"3","K318","Hwajeon","화전","1268","경의선"
"2","K319","Gangmae","강매","1269","경의선"
"3","K320","Haengsin","행신","1270","경의선"
"5","K321","Neunggok","능곡","1271","경의선"
"3","K323","Goksan","곡산","1272","경의선"
"3","K324","Baengma","백마","1273","경의선"
"3","K325","Pungsan","풍산","1274","경의선"
"3","K326","Ilsan","일산","1275","경의선"
"3","K327","Tanhyeon","탄현","1276","경의선"
"2","K328","Yadang","야당","1277","경의선"
"4","K329","Unjeong","운정","1278","경의선"
"3","K330","Geumneung","금릉","1279","경의선"
"5","K331","Geumchon","금촌","1280","경의선"
"3","K333","Wollong","월롱","1282","경의선"
"5","K334","Paju","파주","1283","경의선"
"7","K335","Munsan","문산","1284","경의선"
"4","A01","Seoul Station","서울역","4201","공항철도"
"4","A02","Gongdeok","공덕","4202","공항철도"
"4","A03","Hongik Univ.","홍대입구","4203","공항철도"
"7","A04","Digital Media City","디지털미디어시티","4204","공항철도"
"3","A042","Magongnaru","마곡나루","4206","공항철도"
"7","A05","Gimpo Intl. Airport","김포공항","4207","공항철도"
"6","A06","Gyeyang","계양","4208","공항철도"
"4","A07","Geomam","검암","4209","공항철도"
"9","A071","Cheongna Int’l City Station","청라국제도시","4210","공항철도"
"4","A08","Unseo","운서","4211","공항철도"
"4","A09","Incheon Intl. Airport Cargo Terminal","공항화물청사","4212","공항철도"
"6","A10","Incheon Intl. Airport","인천공항1터미널","4213","공항철도"
"17","A11","Incheon Int’l Airport Terminal 2","인천공항2터미널","4215","공항철도"
"3","841","Sosa","소사","4804","서해선"
"3","842","Sosaeul","소새울","4805","서해선"
"3","843","Siheung Daeya","시흥대야","4806","서해선"
"4","844","Sincheon","신천","4807","서해선"
"4","845","Sinhyeon","신현","4808","서해선"
"2","846","Siheung City Hall","시흥시청","4809","서해선"
"4","847","Siheung Neunggok","시흥능곡","4810","서해선"
"3","848","Dalmi","달미","4811","서해선"
"3","849","Seonbu","선부","4812","서해선"
"2","850","Choji","초지","4813","서해선"
"2","701","Siu","시우","4814","서해선"
"3","P117","Cheongnyangni","청량리","1306","경춘선"
"3","P118","Hoegi","회기","1307","경춘선"
"2","P119","Jungnang","중랑","1308","경춘선"
"2","P120","Sangbong","상봉","1309","경춘선"
"3","P121","Mangu","망우","1310","경춘선"
"4","P122","Sinnae","신내","1311","경춘선"
"2","P123","Galmae","갈매","1312","경춘선"
"3","P124","Byeollae","별내","1313","경춘선"
"4","P125","Toegyewon","퇴계원","1314","경춘선"
"4","P126","Sareung","사릉","1315","경춘선"
"4","P127","Geumgok","금곡","1316","경춘선"
"3","P128","PyeongnaeHopyeong","평내호평","1317","경춘선"
"4","P129","Cheonmasan","천마산","1318","경춘선"
"6","P130","Maseok","마석","1319","경춘선"
"7","P131","Daeseong-ri","대성리","1320","경춘선"
"5","P132","Cheongpyeong","청평","1321","경춘선"
"6","P133","Sangcheon","상천","1322","경춘선"
"5","P134","Gapyeong","가평","1323","경춘선"
"4","P135","Gulbongsan","굴봉산","1324","경춘선"
"5","P136","Baegyang-ri","백양리","1325","경춘선"
"6","P137","Gangchon","강촌","1326","경춘선"
"6","P138","Gimyujeong","김유정","1327","경춘선"
"4","P139","Namchuncheon","남춘천","1328","경춘선"
"2","K215","Seolleung","선릉","1023","수인분당선"
"2","K216","Hanti","한티","1024","수인분당선"
"2","K217","Dogok","도곡","1025","수인분당선"
"2","K218","Guryong","구룡","1026","수인분당선"
"2","K219","Gaepo-dong","개포동","1027","수인분당선"
"4","K221","Suseo","수서","1030","수인분당선"
"97","K222","Bokjeong","복정","1031","수인분당선"
"18","K258","Oido","오이도","1800","수인분당선"
"2","K251","Hanyang Univ. at Ansan","한대앞","1830","수인분당선"
"2","K252","Jungang","중앙","1831","수인분당선"
"3","K253","Gojan","고잔","1832","수인분당선"
"3","K254","Choji","초지","1833","수인분당선"
"3","K255","Ansan","안산","1834","수인분당선"
"4","K256","Neunggil","신길온천","1835","수인분당선"
"98","K257","Jeongwang","정왕","1836","수인분당선"
"79","K209","Cheongnyangni","청량리","1845","수인분당선"
"83","K245","Suwon","수원","1846","수인분당선"
"3","K211","Seoul-forest","서울숲","1847","수인분당선"
"3","K212","Apgujeongrodeo","압구정로데오","1848","수인분당선"
"2","K213","Gangnam-gu Office","강남구청","1849","수인분당선"
"22","K214","Seonjeongneung","선정릉","1850","수인분당선"
"2","K223","Gachon Univ.","가천대","1851","수인분당선"
"2","K224","Taepyeong","태평","1852","수인분당선"
"3","K225","Moran","모란","1853","수인분당선"
"5","K226","Yatap","야탑","1854","수인분당선"
"2","K228","Seohyeon","서현","1855","수인분당선"
"3","K229","Sunae","수내","1856","수인분당선"
"3","K230","Jeongja","정자","1857","수인분당선"
"2","K231","Migeum","미금","1858","수인분당선"
"11","K232","Ori","오리","1859","수인분당선"
"17","K227","Imae","이매","1860","수인분당선"
"3","K234","Bojeong","보정","1861","수인분당선"
"5","K233","Jukjeon","죽전","1862","수인분당선"
"3","K235","Guseong","구성","1863","수인분당선"
"3","K236","Singal","신갈","1864","수인분당선"
"3","K237","Giheung","기흥","1865","수인분당선"
"3","K238","Sanggal","상갈","1866","수인분당선"
"2","K239","Cheongmyeong","청명","1867","수인분당선"
"3","K240","Yeongtong","영통","1868","수인분당선"
"3","K241","Mangpo","망포","1869","수인분당선"
"3","K242","MaetanGwonseon","매탄권선","1870","수인분당선"
"3","K243","Suwon City Hall","수원시청","1871","수인분당선"
"6","K244","Maegyo","매교","1872","수인분당선"
"3","K246","Gosaek","고색","1873","수인분당선"
"5","K247","Omokcheon","오목천","1874","수인분당선"
"3","K248","Eocheon","어천","1875","수인분당선"
"5","K249","Yamok","야목","1876","수인분당선"
"24","K250","Sari","사리","1877","수인분당선"
"3","K259","Dalwol","달월","1878","수인분당선"
"2","K260","Wolgot","월곶","1879","수인분당선"
"2","K261","Soraepogu","소래포구","1880","수인분당선"
"2","K262","Incheon Nonhyeon","인천논현","1881","수인분당선"
"2","K263","Hogupo","호구포","1882","수인분당선"
"2","K264","Namdong Induspark","남동인더스파크","1883","수인분당선"
"2","K265","Woninjae","원인재","1884","수인분당선"
"4","K266","Yeonsu","연수","1885","수인분당선"
"3","K267","Songdo","송도","1886","수인분당선"
"3","K269","Inha Univ.","인하대","1888","수인분당선"
"3","K270","Sungui","숭의","1889","수인분당선"
"2","K271","Sinpo","신포","1890","수인분당선"
"2","I201","Geomdan Oryu","검단오류","3201","인천2호선"
"2","I202","Wanggil","왕길","3202","인천2호선"
"2","I203","Geomdan Sageori","검단사거리","3203","인천2호선"
"1","I204","Majeon","마전","3204","인천2호선"
"1","I205","Wanjeong","완정","3205","인천2호선"
"2","I206","Dokjeong","독정","3206","인천2호선"
"1","I207","Geomam","검암","3207","인천2호선"
"2","I208","Geombawi","검바위","3208","인천2호선"
"2","I209","Asiad Stadium","아시아드경기장","3209","인천2호선"
"2","I210","Seo-gu Office","서구청","3210","인천2호선"
"2","I211","Gajeong","가정","3211","인천2호선"
"1","I212","Gajeong Jungang Market","가정중앙시장","3212","인천2호선"
"1","I213","Seongnam","석남","3213","인천2호선"
"1","I214","West Woman's Community Center","서부여성회관","3214","인천2호선"
"2","I215","Incheon Gajwa","인천가좌","3215","인천2호선"
"2","I216","Gajaeul","가재울","3216","인천2호선"
"1","I217","Juan National Industrial Complex","주안국가산단","3217","인천2호선"
"2","I218","Juan","주안","3218","인천2호선"
"1","I219","Citizens Park","시민공원","3219","인천2호선"
"1","I220","Seokbawi Market","석바위시장","3220","인천2호선"
"1","I221","Inchon City Hall","인천시청","3221","인천2호선"
"1","I222","Seokcheon Sageori","석천사거리","3222","인천2호선"
"1","I223","Moraenae Market","모래내시장","3223","인천2호선"
"2","I224","Mansu","만수","3224","인천2호선"
"2","I225","Namdong-gu Office","남동구청","3225","인천2호선"
"2","I226","Incheon Grand Park","인천대공원","3226","인천2호선"
"2","U110","Balgok","발곡","4601","의정부경전철"
"1","U111","Hoeryong","회룡","4602","의정부경전철"
"2","U112","Beomgol","범골","4603","의정부경전철"
"2","U113","Lrt Uijeongbu","경전철의정부","4604","의정부경전철"
"1","U114","Uijeongbu City Hall","의정부시청","4605","의정부경전철"
"2","U115","Heungseon","흥선","4606","의정부경전철"
"1","U117","Uijeongbu Jung-ang","의정부중앙","4607","의정부경전철"
"2","U118","Dong-o","동오","4608","의정부경전철"
"1","U119","sae-mal","새말","4609","의정부경전철"
"1","U120","Gyeonggi Provincial Government Northern Office","경기도청북부청사","4610","의정부경전철"
"2","U121","hyoja","효자","4611","의정부경전철"
"2","U122","gonjae","곤제","4612","의정부경전철"
"1","U123","eoryong","어룡","4613","의정부경전철"
"1","U124","Songsan","송산","4614","의정부경전철"
"6","690","Yangchon","양촌","4920","김포도시철도"
"4","691","Gurae","구래","4921","김포도시철도"
"2","692","Masan","마산","4922","김포도시철도"
"3","693","Janggi","장기","4923","김포도시철도"
"4","694","Unyang","운양","4924","김포도시철도"
"3","695","Geolpo Bukbyeon","걸포북변","4925","김포도시철도"
"4","696","Sau","사우","4926","김포도시철도"
"3","697","Pungmu","풍무","4927","김포도시철도"
"2","698","Gochon","고촌","4928","김포도시철도"
"2","941","Bukhansan Ui","북한산우이","4701","우이신설경전철"
"2","942","Solbat Park","솔밭공원","4702","우이신설경전철"
"2","943","April 19th National Cemetery","4?19민주묘지","4703","우이신설경전철"
"2","944","Gaori","가오리","4704","우이신설경전철"
"2","945","Hwagye","화계","4705","우이신설경전철"
"2","946","Samyang","삼양","4706","우이신설경전철"
"2","947","Samyang Sageori","삼양사거리","4707","우이신설경전철"
"2","948","Solsaem","솔샘","4708","우이신설경전철"
"2","949","Bukhansan Bogungmun","북한산보국문","4709","우이신설경전철"
"2","950","Jeongneung","정릉","4710","우이신설경전철"
"3","951","Sungshin Women`s Univ.","성신여대입구","4711","우이신설경전철"
"2","952","Bomun","보문","4712","우이신설경전철"
"3","K410","Pangyo","판교","1501","경강선"
"6","K411","Imae","이매","1502","경강선"
"5","K412","Samdong","삼동","1503","경강선"
"4","K413","GyeonggiGwangju","경기광주","1504","경강선"
"5","K414","Chowol","초월","1505","경강선"
"6","K415","Gonjiam","곤지암","1506","경강선"
"5","K416","Sindundoyechon","신둔도예촌","1507","경강선"
"4","K417","Icheon","이천","1508","경강선"
"6","K418","Bubal","부발","1509","경강선"
"6","K419","Sejongdaewangneung","세종대왕릉","1510","경강선"
"2","D7","Gangnam","강남","4307","신분당선"
"2","D8","Yangjae","양재","4308","신분당선"
"3","D9","Yangjae Citizen's Forest","양재시민의숲","4309","신분당선"
"7","D10","Cheonggyesan","청계산입구","4310","신분당선"
"3","D11","Pangyo","판교","4311","신분당선"
"3","D12","Jeongja","정자","4312","신분당선"
"3","D13","Migeum","미금","4313","신분당선"
"3","D14","Dongcheon","동천","4314","신분당선"
"3","D15","Suji-gu office","수지구청","4315","신분당선"
"3","D16","Seongbok","성복","4316","신분당선"
"3","D17","Sanghyeon","상현","4317","신분당선"
"3","D18","GwanggyoJungang","광교중앙","4318","신분당선"
"2","133","Seoul Station","서울역","0150","01호선"
"3","132","City Hall","시청","0151","01호선"
"2","131","Jonggak","종각","0152","01호선"
"2","130","Jongno 3(sam)-ga","종로3가","0153","01호선"
"2","129","Jongno 5(o)-ga","종로5가","0154","01호선"
"3","128","Dongdaemun","동대문","0155","01호선"
"2","126","Sinseol-dong","신설동","0156","01호선"
"2","125","Jegi-dong","제기동","0157","01호선"
"5","124","Cheongnyangni","청량리","0158","01호선"
"15","127","Dongmyo","동묘앞","0159","01호선"
"3","134","Namyeong","남영","1002","01호선"
"4","135","Yongsan","용산","1003","01호선"
"3","136","Noryangjin","노량진","1004","01호선"
"4","137","Daebang","대방","1005","01호선"
"3","139","Yeongdeungpo","영등포","1006","01호선"
