출발지전철역,도착지전철역,역간소요분
개화,김포공항,5
김포공항,공항시장,2
공항시장,신방화,2
신방화,마곡나루,2
마곡나루,양천향교,3
양천향교,가양,2
가양,증미,2
증미,등촌,2
등촌,염창,2
염창,신목동,2
신목동,선유도,2
선유도,당산,2
당산,국회의사당,3
국회의사당,여의도,2
여의도,샛강,2
샛강,노량진,2
노량진,노들,2
노들,흑석,2
흑석,동작,3
동작,구반포,2
구반포,신반포,2
신반포,고속터미널,2
고속터미널,사평,2
사평,신논현,2
신논현,언주,2
언주,선정릉,2
선정릉,삼성중앙,2
삼성중앙,봉은사,2
봉은사,종합운동장,2
종합운동장,삼전,3
삼전,석촌고분,2
석촌고분,석촌,2
석촌,송파나루,2
송파나루,한성백제,2
한성백제,올림픽공원,3
올림픽공원,둔촌오륜,2
둔촌오륜,중앙보훈병원,3
암사,천호,2
천호,강동구청,3
강동구청,몽촌토성,3
몽촌토성,잠실,2
잠실,석촌,3
석촌,송파,2
송파,가락시장,2
가락시장,문정,2
문정,장지,2
장지,복정,2
복정,산성,4
산성,남한산성입구,2
남한산성입구,단대오거리,2
단대오거리,신흥,2
신흥,수진,2
수진,모란,2
기흥,강남대,2
강남대,지석,2
지석,어정,2
어정,동백,2
동백,초당,2
초당,삼가,4
삼가,시청.용인대,2
시청.용인대,명지대,2
명지대,김량장,2
김량장,운동장.송담대,2
운동장.송담대,고진,2
고진,보평,3
보평,둔전,2
둔전,"전대,에버랜드",4
지평,,0
용문,지평,4
원덕,용문,5
양평,원덕,5
오빈,양평,3
아신,오빈,4
국수,아신,3
신원,국수,4
양수,신원,5
운길산,양수,3
팔당,운길산,6
도심,팔당,5
덕소,도심,3
양정,덕소,4
도농,양정,4
구리,도농,3
양원,구리,4
망우,양원,3
상봉,망우,2
중랑,상봉,2
회기,중랑,3
청량리,회기,3
왕십리,청량리,4
응봉,왕십리,2
옥수,응봉,3
한남,옥수,3
서빙고,한남,3
이촌,서빙고,3
용산,이촌,4
용산,효창공원앞,3
효창공원앞,공덕,2
공덕,서강대,3
서강대,홍대입구,2
홍대입구,가좌,3
가좌,디지털미디어시티,3
가좌,신촌,4
신촌,서울역,7
디지털미디어시티,수색,2
수색,화전,4
화전,강매,3
강매,행신,2
행신,능곡,3
능곡,대곡,3
대곡,곡산,3
곡산,백마,3
백마,풍산,3
풍산,일산,3
일산,탄현,3
탄현,야당,3
야당,운정,2
운정,금릉,4
금릉,금촌,3
금촌,월롱,5
월롱,파주,3
파주,문산,5
문산,임진강,7
임진강,,0
서울역,공덕,4
공덕,홍대입구,4
홍대입구,디지털미디어시티,4
디지털미디어시티,마곡나루,7
마곡나루,김포공항,3
김포공항,계양,7
계양,검암,6
검암,청라국제도시,4
청라국제도시,운서,9
운서,공항화물청사,4
공항화물청사,인천공항1터미널,4
인천공항1터미널,인천공항2터미널,6
청량리,왕십리,5
왕십리,서울숲,3
서울숲,압구정로데오,3
압구정로데오,강남구청,3
강남구청,선정릉,2
선정릉,선릉,2
선릉,한티,2
한티,도곡,2
도곡,구룡,2
구룡,개포동,2
개포동,수서,6
수서,복정,4
복정,가천대,3
가천대,태평,2
태평,모란,2
모란,야탑,3
야탑,이매,3
이매,서현,2
서현,수내,2
수내,정자,3
정자,미금,3
미금,오리,2
오리,죽전,4
죽전,보정,3
보정,구성,3
구성,신갈,3
신갈,기흥,3
기흥,상갈,3
상갈,청명,3
청명,영통,2
영통,망포,3
망포,매탄권선,3
매탄권선,수원시청,3
수원시청,매교,3
매교,수원,2
수원,고색,4
고색,오목천,3
오목천,어천,5
어천,야목,3
야목,사리,5
사리,한대앞,3
한대앞,중앙,2
중앙,고잔,2
고잔,초지,3
초지,안산,3
안산,신길온천,3
신길온천,정왕,4
정왕,오이도,3
오이도,달월,3
달월,월곶,3
월곶,소래포구,2
소래포구,인천논현,2
인천논현,호구포,2
호구포,남동인더스파크,2
남동인더스파크,원인재,2
원인재,연수,2
연수,송도,4
송도,인하대,3
인하대,숭의,3
숭의,신포,3
신포,인천,2
청량리,회기,3
회기,중랑,3
중랑,상봉,2
상봉,망우,2
망우,신내,3
신내,갈매,4
갈매,별내,2
별내,퇴계원,3
퇴계원,사릉,4
사릉,금곡,4
금곡,평내호평,4
평내호평,천마산,3
천마산,마석,4
마석,대성리,6
대성리,청평,7
청평,상천,5
상천,가평,6
가평,굴봉산,5
굴봉산,백양리,4
백양리,강촌,5
강촌,김유정,6
김유정,남춘천,6
남춘천,춘천,4
소사,소새울,3
소새울,시흥대야,3
시흥대야,신천,3
신천,신현,4
신현,시흥시청,4
시흥시청,시흥능곡,2
시흥능곡,달미,4
달미,선부,3
선부,초지,3
초지,시우,2
시우,원시,2
검단오류,왕길,2
왕길,검단사거리,2
검단사거리,마전,2
마전,완정,1
완정,독정,1
독정,검암,2
검암,검바위,1
검바위,아시아드경기장,2
아시아드경기장,서구청,2
서구청,가정,2
가정,가정중앙시장,2
가정중앙시장,석남,1
석남,서부여성회관,1
서부여성회관,인천가좌,1
인천가좌,가재울,2
가재울,주안국가산단,2
주안국가산단,주안,1
주안,시민공원,2
시민공원,석바위시장,1
석바위시장,인천시청,1
인천시청,석천사거리,1
석천사거리,모래내시장,1
모래내시장,만수,1
만수,남동구청,2
남동구청,인천대공원,2
인천대공원,운연,2
발곡,회룡,2
회룡,범골,1
범골,경전철의정부,2
경전철의정부,의정부시청,2
의정부시청,흥선,1
흥선,의정부중앙,2
의정부중앙,동오,1
동오,새말,2
새말,경기도청북부청사,1
경기도청북부청사,효자,1
효자,곤제,2
곤제,어룡,2
어룡,송산,1
송산,탑석,1
양촌,구래,6
구래,마산,4
마산,장기,2
장기,운양,3
운양,걸포북변,4
걸포북변,사우,3
사우,풍무,4
풍무,고촌,3
고촌,김포공항,2
북한산우이,솔밭공원,2
솔밭공원,4?19민주묘지,2
4?19민주묘지,가오리,2
가오리,화계,2
화계,삼양,2
삼양,삼양사거리,2
삼양사거리,솔샘,2
솔샘,북한산보국문,2
북한산보국문,정릉,2
정릉,성신여대입구,2
성신여대입구,보문,3
보문,신설동,2
판교,이매,3
이매,삼동,6
삼동,경기광주,5
경기광주,초월,4
초월,곤지암,5
곤지암,신둔도예촌,6
신둔도예촌,이천,5
이천,부발,4
부발,세종대왕릉,6
세종대왕릉,여주,6
소요산,동두천,4
동두천,보산,3
보산,동두천중앙,3
동두천중앙,지행,2
지행,덕정,6
덕정,덕계,4
덕계,양주,6
양주,녹양,3
녹양,가능,2
가능,의정부,3
의정부,회룡,3
회룡,망월사,2
망월사,도봉산,3
도봉산,도봉,2
도봉,방학,2
방학,창동,3
창동,녹천,2
녹천,월계,3
월계,광운대,3
광운대,석계,3
석계,신이문,2
신이문,외대앞,2
외대앞,회기,2
회기,청량리,3
청량리,제기동,2
제기동,신설동,2
신설동,동묘앞,2
동묘앞,동대문,2
동대문,종로5가,2
종로5가,종로3가,2
종로3가,종각,2
종각,시청,3
시청,서울역,2
서울역,남영,3
남영,용산,3
용산,노량진,4
노량진,대방,3
대방,신길,2
신길,영등포,3
영등포,신도림,3
신도림,구로,2
구로,구일,3
구일,개봉,2
개봉,오류동,3
오류동,온수,3
온수,역곡,2
역곡,소사,3
소사,부천,2
부천,중동,3
